year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,5,1,17.3,15.6,19.4,57.0,0.0,
2012,5,2,17.2,15.9,19.4,14.5,0.3,
2012,5,3,17.3,14.9,21.7,,11.9,
2012,5,4,17.7,14.0,22.4,,8.9,
2012,5,5,20.6,15.9,26.8,,12.1,
2012,5,6,20.1,16.7,23.6,,10.5,
2012,5,7,23.1,19.8,26.7,,9.4,
2012,5,8,20.5,16.5,24.0,,4.0,
2012,5,9,17.7,14.9,22.5,,10.7,
2012,5,10,17.9,14.5,21.4,,10.5,
2012,5,11,16.9,14.7,20.3,,6.6,
2012,5,12,17.3,14.2,22.0,,10.3,
2012,5,13,18.5,15.3,21.1,,2.8,
2012,5,14,19.7,17.0,24.1,8.0,0.9,
2012,5,15,16.4,14.1,18.5,6.0,3.0,
2012,5,16,21.1,13.8,24.9,,8.9,
2012,5,17,18.9,14.4,22.8,,12.1,
2012,5,18,17.1,12.6,21.0,,10.5,
2012,5,19,17.9,13.8,21.2,,0.8,
2012,5,20,18.5,17.0,20.9,,3.6,
2012,5,21,19.4,16.4,21.7,,9.8,
2012,5,22,19.3,16.5,22.0,,11.4,
2012,5,23,20.2,17.1,24.1,,5.4,
2012,5,24,19.0,16.9,21.4,1.5,0.0,
2012,5,25,17.6,15.7,19.8,12.0,4.9,
2012,5,26,19.3,16.3,22.9,,10.4,
2012,5,27,20.4,15.5,25.8,,10.8,
2012,5,28,20.4,17.6,24.3,,11.7,
2012,5,29,20.3,16.6,25.3,,10.5,
2012,5,30,20.7,18.9,25.3,,0.3,
2012,5,31,19.6,17.4,24.2,,6.5,
