year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,8,1,25.5,22.1,31.6,2.5,4.2,
2020,8,2,26.3,22.9,31.9,,1.9,
2020,8,3,26.0,22.6,32.7,0.4,1.4,
2020,8,4,26.6,21.8,32.8,,4.8,
2020,8,5,25.8,22.8,30.1,5.5,0.9,
2020,8,6,25.3,24.1,29.8,36.0,0.2,
2020,8,7,24.0,22.3,25.4,113.0,0.0,
2020,8,8,23.1,22.0,24.4,203.5,0.0,
2020,8,9,26.3,21.8,33.0,0.5,5.5,
2020,8,10,24.6,23.0,26.7,63.5,0.1,
2020,8,11,25.6,22.5,30.6,14.0,0.9,
2020,8,12,26.2,22.8,31.8,1.5,2.7,
2020,8,13,27.4,22.4,33.9,,9.7,
2020,8,14,27.9,22.4,33.6,,10.5,
2020,8,15,28.0,23.2,33.9,,11.5,
2020,8,16,27.2,21.1,33.5,,11.5,
2020,8,17,27.9,22.3,35.2,,11.9,
2020,8,18,27.7,22.2,35.6,,10.3,
2020,8,19,28.1,22.0,36.1,,11.3,
2020,8,20,27.2,20.2,36.3,,11.6,
2020,8,21,26.6,21.0,34.0,,7.8,
2020,8,22,26.3,23.7,31.5,0.2,2.2,
2020,8,23,26.6,22.8,33.1,,7.1,
2020,8,24,26.1,22.8,33.4,,5.3,
2020,8,25,27.5,22.7,33.4,0.0,9.3,
2020,8,26,26.5,24.5,30.8,115.5,1.6,
2020,8,27,26.5,24.4,32.1,30.0,2.9,
2020,8,28,26.7,24.2,31.4,3.0,3.3,
2020,8,29,26.2,23.9,30.9,8.0,1.6,
2020,8,30,27.0,23.1,33.4,20.5,7.2,
2020,8,31,25.7,23.0,28.8,0.4,0.6,
