year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,8,1,28.6,24.4,34.0,,12.4,
2012,8,2,28.9,26.6,32.9,,7.8,
2012,8,3,28.4,26.0,33.6,,9.3,
2012,8,4,28.2,25.6,32.0,,8.5,
2012,8,5,28.9,24.7,33.4,,9.6,
2012,8,6,27.9,25.5,31.9,,5.3,
2012,8,7,27.4,25.5,31.4,,9.5,
2012,8,8,26.3,23.4,30.1,,9.4,
2012,8,9,26.8,22.0,32.7,,9.9,
2012,8,10,26.9,24.4,32.1,0.1,3.6,
2012,8,11,27.9,23.9,33.8,,5.6,
2012,8,12,27.4,25.1,32.8,23.0,2.8,
2012,8,13,26.0,23.7,29.4,15.0,0.0,
2012,8,14,24.8,23.1,28.5,2.0,0.8,
2012,8,15,28.2,23.7,31.4,5.5,4.2,
2012,8,16,28.3,23.9,34.2,23.0,5.8,
2012,8,17,26.6,23.7,31.0,1.0,1.5,
2012,8,18,29.3,24.6,34.7,,8.8,
2012,8,19,29.4,26.7,33.9,,7.3,
2012,8,20,28.3,25.8,32.8,,6.9,
2012,8,21,28.5,24.5,32.9,,9.7,
2012,8,22,25.0,22.8,27.3,24.0,0.3,
2012,8,23,21.4,20.6,23.2,70.5,0.0,
2012,8,24,21.0,20.3,22.1,25.0,0.0,
2012,8,25,25.3,20.7,31.7,,5.0,
2012,8,26,26.6,21.9,31.5,,11.4,
2012,8,27,27.7,24.5,30.4,0.3,5.1,
2012,8,28,26.6,25.4,28.6,23.0,0.3,
2012,8,29,28.0,24.8,32.4,,8.6,
2012,8,30,25.2,22.9,27.5,7.0,0.3,
2012,8,31,22.1,19.0,26.1,1.0,3.7,
