year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,6,1,21.2,11.5,29.3,,12.1,
2004,6,2,23.6,15.0,31.8,,11.4,
2004,6,3,25.4,16.2,34.3,,12.8,
2004,6,4,25.3,18.3,33.4,,10.6,
2004,6,5,25.9,17.8,33.2,,8.7,
2004,6,6,25.4,21.8,30.7,,4.7,
2004,6,7,20.7,18.5,22.7,0.5,0.5,
2004,6,8,18.9,16.2,22.2,1.0,0.5,
2004,6,9,21.6,17.8,27.0,,9.4,
2004,6,10,24.0,16.6,31.3,,11.3,
2004,6,11,26.1,20.2,33.2,,12.1,
2004,6,12,24.6,19.1,31.2,,10.5,
2004,6,13,23.5,15.7,30.6,,11.0,
2004,6,14,23.4,15.7,31.4,,12.6,
2004,6,15,24.7,15.9,33.4,,11.8,
2004,6,16,25.6,17.3,32.8,,9.3,
2004,6,17,18.6,17.5,25.4,50.5,0.0,
2004,6,18,23.2,17.8,28.5,0.5,2.5,
2004,6,19,20.5,19.5,24.3,111.5,0.0,
2004,6,20,22.2,20.6,23.4,105.5,0.2,
2004,6,21,22.4,20.3,26.5,81.5,1.7,
2004,6,22,23.1,19.5,29.7,24.0,6.1,
2004,6,23,25.1,21.0,30.0,6.5,6.8,
2004,6,24,24.6,21.2,29.5,0.0,0.8,
2004,6,25,23.6,21.9,26.1,0.0,1.4,
2004,6,26,25.5,21.5,30.1,2.0,7.2,
2004,6,27,24.7,22.1,29.6,0.0,6.5,
2004,6,28,23.3,20.5,27.8,,3.0,
2004,6,29,24.1,20.9,28.4,,3.5,
2004,6,30,25.0,21.9,28.7,,0.8,
