year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,12,1,4.5,-0.7,9.0,,0.0,
1999,12,2,8.4,-0.1,14.4,,8.4,
1999,12,3,4.9,-1.4,14.0,,8.3,
1999,12,4,8.5,0.5,11.9,,0.0,
1999,12,5,8.5,6.5,11.9,,1.7,
1999,12,6,5.1,2.4,7.4,0.0,0.8,
1999,12,7,3.9,-2.8,9.6,,8.4,
1999,12,8,5.4,-2.5,11.1,,5.2,
1999,12,9,8.3,0.0,13.6,,8.1,
1999,12,10,7.1,-1.8,13.8,,8.0,
1999,12,11,4.7,0.3,9.2,,8.4,
1999,12,12,3.9,-2.0,9.3,,8.0,
1999,12,13,6.4,-0.6,11.2,,6.0,
1999,12,14,4.2,-0.6,8.1,,2.9,
1999,12,15,3.7,-1.8,10.7,,7.4,
1999,12,16,5.5,-3.2,12.9,,5.9,
1999,12,17,3.3,-0.2,7.5,,8.1,
1999,12,18,0.4,-4.0,4.5,,7.7,
1999,12,19,-1.2,-6.3,3.1,0.0,7.2,
1999,12,20,-2.2,-6.1,1.7,,7.9,
1999,12,21,-1.5,-6.5,3.5,,7.4,
1999,12,22,-0.3,-6.4,4.4,,8.4,
1999,12,23,2.1,-2.0,6.9,,4.0,
1999,12,24,3.3,-2.7,8.6,0.0,3.6,
1999,12,25,2.8,1.1,6.4,,4.4,
1999,12,26,1.7,-4.2,7.3,,8.4,
1999,12,27,1.7,-5.8,11.9,,8.2,
1999,12,28,5.4,-3.1,12.7,,8.2,
1999,12,29,3.2,-2.9,9.5,,8.0,
1999,12,30,2.0,-5.5,12.4,,0.0,
1999,12,31,3.5,-3.7,13.8,,8.0,
