year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2016,7,1,24.2,22.8,25.3,69.5,0.3,
2016,7,2,23.7,21.9,26.2,27.0,0.4,
2016,7,3,22.2,20.8,25.0,28.5,0.4,
2016,7,4,23.8,21.0,26.9,7.5,0.1,
2016,7,5,25.5,22.4,30.5,31.0,3.1,
2016,7,6,26.7,24.2,30.8,0.1,5.3,
2016,7,7,26.2,22.5,31.5,,4.8,
2016,7,8,24.5,22.5,29.9,2.5,3.2,
2016,7,9,26.3,21.4,31.8,,11.3,
2016,7,10,27.3,22.4,32.5,,6.7,
2016,7,11,25.2,23.7,28.3,2.5,0.2,
2016,7,12,24.7,23.1,27.4,2.5,0.6,
2016,7,13,26.9,22.8,31.6,,6.1,
2016,7,14,26.9,23.2,32.2,,9.9,
2016,7,15,25.4,22.6,29.7,,7.2,
2016,7,16,22.8,21.3,24.2,4.0,0.3,
2016,7,17,25.3,20.6,30.6,,8.1,
2016,7,18,25.6,20.9,31.7,,8.8,
2016,7,19,25.4,22.8,29.5,,2.9,
2016,7,20,25.1,21.3,30.6,,9.2,
2016,7,21,24.4,20.5,29.2,,6.0,
2016,7,22,25.0,21.4,30.8,,10.2,
2016,7,23,25.5,20.2,31.4,,11.6,
2016,7,24,27.8,22.4,33.3,,8.3,
2016,7,25,27.4,24.7,33.1,20.0,4.8,
2016,7,26,28.5,24.8,33.0,,10.9,
2016,7,27,29.0,25.8,33.2,,10.9,
2016,7,28,28.9,27.2,32.8,,7.3,
2016,7,29,29.3,26.4,33.7,,10.1,
2016,7,30,29.6,25.0,34.5,0.0,9.3,
2016,7,31,29.1,24.6,35.4,,9.8,
