year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2022,12,1,-0.6,-3.1,5.0,,5.3,
2022,12,2,-0.1,-5.3,7.1,,8.8,
2022,12,3,3.0,-4.6,11.6,,6.7,
2022,12,4,3.8,-0.7,8.0,,6.6,
2022,12,5,0.1,-5.9,6.9,,4.7,
2022,12,6,0.8,-8.0,9.7,,8.7,
2022,12,7,3.2,-3.2,12.2,,8.4,
2022,12,8,3.1,-4.6,12.9,,8.3,
2022,12,9,2.8,-3.3,13.5,,3.9,
2022,12,10,3.2,-3.9,9.2,0.0,2.8,
2022,12,11,2.9,-2.8,11.6,,8.6,
2022,12,12,1.4,-4.4,8.4,0.5,1.0,
2022,12,13,4.5,-0.5,9.6,,5.4,
2022,12,14,-1.6,-8.3,4.0,,8.7,
2022,12,15,-2.0,-9.9,6.8,,8.4,
2022,12,16,1.8,-1.1,5.7,,6.6,
2022,12,17,-1.6,-6.5,4.7,,3.6,
2022,12,18,-5.5,-10.4,2.2,,8.6,
2022,12,19,-4.1,-11.9,5.7,,8.3,
2022,12,20,-1.9,-9.3,7.5,,8.5,
2022,12,21,0.7,-3.2,3.2,5.8,0.0,
2022,12,22,-1.3,-5.2,3.0,,7.3,
2022,12,23,-3.7,-6.7,-0.1,,8.3,
2022,12,24,-4.3,-10.6,3.7,,8.6,
2022,12,25,-3.0,-10.9,8.2,,8.7,
2022,12,26,-3.2,-10.0,7.1,,7.4,
2022,12,27,-2.0,-9.7,9.2,,8.5,
2022,12,28,-1.1,-7.3,8.7,,7.8,
2022,12,29,-1.9,-9.1,6.6,,8.0,
2022,12,30,-1.2,-8.1,8.5,,8.4,
2022,12,31,-1.1,-7.9,8.3,,8.5,
