year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,11,1,14.4,6.5,23.2,,6.0,
2023,11,2,15.7,9.1,27.5,,6.2,
2023,11,3,16.6,7.5,25.7,,8.7,
2023,11,4,16.9,14.8,20.3,2.6,0.0,
2023,11,5,18.2,15.5,23.2,5.0,0.5,
2023,11,6,16.2,10.8,19.6,8.6,2.4,
2023,11,7,9.3,5.0,13.3,0.1,7.8,
2023,11,8,6.8,-0.5,15.2,,9.6,
2023,11,9,10.1,1.3,16.8,5.6,4.6,
2023,11,10,7.8,2.4,12.6,5.0,5.6,
2023,11,11,3.5,0.0,7.9,,4.5,
2023,11,12,2.8,-1.0,6.9,,9.2,
2023,11,13,3.5,-1.0,8.6,,9.4,
2023,11,14,5.8,2.2,12.3,,9.3,
2023,11,15,5.6,-0.5,14.4,,9.2,
2023,11,16,3.8,1.3,6.3,5.6,0.0,
2023,11,17,3.9,-0.3,8.5,0.1,6.6,
2023,11,18,2.1,-2.8,6.1,,8.1,
2023,11,19,8.8,3.0,13.3,,3.0,
2023,11,20,7.2,1.2,14.2,,9.0,
2023,11,21,5.4,-2.8,16.7,,9.1,
2023,11,22,7.2,-1.6,17.5,,9.1,
2023,11,23,11.7,6.0,19.3,,7.1,
2023,11,24,1.5,-2.2,6.0,,9.0,
2023,11,25,-0.4,-4.8,6.0,,9.0,
2023,11,26,4.0,-3.6,10.5,0.3,7.1,
2023,11,27,5.1,2.9,8.6,2.9,0.1,
2023,11,28,4.2,1.1,7.4,0.0,8.2,
2023,11,29,2.7,-1.8,7.4,0.1,3.1,
2023,11,30,-2.1,-5.1,1.1,,8.8,
