year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2005,5,1,20.3,16.1,27.4,,5.3,
2005,5,2,19.6,13.3,27.9,,12.2,
2005,5,3,18.0,11.6,27.5,,12.2,
2005,5,4,19.3,11.2,29.8,,11.7,
2005,5,5,21.7,14.7,30.8,8.5,2.3,
2005,5,6,11.6,8.6,16.7,23.5,0.0,
2005,5,7,12.6,5.9,20.4,,12.7,
2005,5,8,12.6,10.4,17.1,,3.8,
2005,5,9,13.6,9.1,19.7,,12.3,
2005,5,10,14.1,9.7,20.6,,12.7,
2005,5,11,13.5,11.6,16.6,1.0,0.0,
2005,5,12,14.5,11.5,21.6,,8.4,
2005,5,13,16.9,9.7,25.9,,10.5,
2005,5,14,16.3,12.3,23.4,,6.8,
2005,5,15,17.3,11.9,26.4,,11.0,
2005,5,16,19.7,12.1,27.8,,9.6,
2005,5,17,20.1,16.4,26.1,28.0,0.0,
2005,5,18,15.1,11.3,20.6,18.5,4.4,
2005,5,19,16.3,11.0,23.1,,13.3,
2005,5,20,17.6,11.7,25.1,,12.5,
2005,5,21,17.0,12.9,23.6,,4.5,
2005,5,22,15.4,13.4,20.2,2.5,0.5,
2005,5,23,16.2,12.5,21.1,,12.1,
2005,5,24,16.7,12.4,23.5,,13.6,
2005,5,25,17.8,12.4,24.8,,9.1,
2005,5,26,17.7,14.5,24.4,,11.8,
2005,5,27,19.8,13.3,27.7,,11.9,
2005,5,28,22.1,15.2,29.0,,9.6,
2005,5,29,22.7,17.0,30.1,,11.3,
2005,5,30,20.0,15.3,27.9,,10.4,
2005,5,31,20.7,14.8,28.1,,12.2,
