year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2015,9,1,24.7,21.3,29.5,,5.7,
2015,9,2,22.1,19.6,28.1,30.5,2.1,
2015,9,3,22.8,19.3,28.7,0.5,6.7,
2015,9,4,23.9,19.3,29.2,,7.0,
2015,9,5,22.0,20.6,25.4,0.4,0.0,
2015,9,6,21.5,17.6,25.6,,0.0,
2015,9,7,21.1,14.2,28.1,,10.5,
2015,9,8,20.1,12.6,28.3,,11.9,
2015,9,9,20.5,11.8,28.4,,11.9,
2015,9,10,21.0,13.7,28.5,,11.5,
2015,9,11,20.0,16.4,25.1,4.0,1.0,
2015,9,12,18.2,15.5,22.7,0.5,2.4,
2015,9,13,18.1,12.0,25.4,,9.5,
2015,9,14,19.4,11.9,27.2,,10.6,
2015,9,15,20.2,13.7,27.7,,11.4,
2015,9,16,19.2,11.7,25.4,,8.8,
2015,9,17,19.9,14.5,25.9,,9.4,
2015,9,18,19.8,12.5,27.5,,10.1,
2015,9,19,20.3,14.1,28.3,,10.7,
2015,9,20,19.8,13.7,27.8,,9.6,
2015,9,21,20.0,14.3,28.1,,8.5,
2015,9,22,20.3,13.8,28.9,,10.8,
2015,9,23,18.7,14.4,23.6,,0.3,
2015,9,24,20.8,14.6,28.7,,8.5,
2015,9,25,20.5,15.2,28.2,,8.8,
2015,9,26,19.1,14.4,27.4,,5.0,
2015,9,27,18.7,12.0,28.6,,9.3,
2015,9,28,18.9,10.5,28.2,,5.5,
2015,9,29,20.4,12.6,27.5,,9.5,
2015,9,30,19.7,16.4,24.8,,1.9,
