year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1977,7,1,25.5,21.9,31.3,,8.2,
1977,7,2,26.5,19.0,33.3,,12.2,
1977,7,3,24.9,19.0,29.7,,9.3,
1977,7,4,25.0,22.3,29.0,3.4,2.0,
1977,7,5,25.9,22.9,30.4,4.9,7.0,
1977,7,6,23.8,20.9,26.5,55.5,4.5,
1977,7,7,25.0,22.6,29.0,,6.2,
1977,7,8,23.6,21.9,25.9,,1.8,
1977,7,9,23.7,21.2,25.5,10.7,1.3,
1977,7,10,26.3,21.2,31.9,,10.4,
1977,7,11,23.0,19.6,26.8,0.3,7.1,
1977,7,12,23.0,20.7,26.8,3.3,0.5,
1977,7,13,23.9,20.7,27.2,,5.8,
1977,7,14,23.0,19.3,26.6,5.8,6.1,
1977,7,15,26.6,21.8,32.9,,9.7,
1977,7,16,24.5,21.2,29.8,0.6,6.9,
1977,7,17,23.8,18.8,29.8,,9.5,
1977,7,18,21.1,17.8,25.0,3.3,2.7,
1977,7,19,21.8,20.4,23.3,1.8,0.0,
1977,7,20,25.2,20.0,30.9,,8.7,
1977,7,21,26.1,19.8,33.2,0.3,8.3,
1977,7,22,27.2,23.3,32.3,,7.9,
1977,7,23,26.8,22.1,32.0,,6.8,
1977,7,24,25.8,19.8,32.1,,8.2,
1977,7,25,26.4,20.8,31.9,,9.2,
1977,7,26,26.6,20.9,32.2,,9.5,
1977,7,27,27.2,20.9,33.2,,10.5,
1977,7,28,26.9,20.9,33.9,,10.0,
1977,7,29,27.9,20.8,35.3,,10.3,
1977,7,30,28.0,21.0,35.5,,11.1,
1977,7,31,29.2,21.9,36.7,,9.8,
