year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1996,3,1,4.1,0.2,6.7,,10.4,
1996,3,2,5.1,0.0,10.8,,10.6,
1996,3,3,5.5,0.9,11.0,,10.4,
1996,3,4,6.1,-1.9,13.4,,10.4,
1996,3,5,4.0,-1.0,9.9,,10.6,
1996,3,6,5.6,-1.3,12.5,,7.8,
1996,3,7,8.6,6.3,11.4,39.0,0.0,
1996,3,8,5.8,1.8,10.0,,10.3,
1996,3,9,3.9,-1.6,9.2,,10.0,
1996,3,10,5.7,-1.5,10.7,,10.5,
1996,3,11,4.8,-1.3,9.1,,10.2,
1996,3,12,2.0,-2.7,6.9,,8.7,
1996,3,13,5.9,-0.3,13.7,,10.3,
1996,3,14,8.9,3.3,13.8,3.5,1.9,
1996,3,15,6.3,3.8,11.0,29.0,4.0,
1996,3,16,5.4,1.7,9.4,35.0,0.0,
1996,3,17,9.8,4.0,12.9,8.0,8.5,
1996,3,18,5.9,1.5,10.2,,9.2,
1996,3,19,5.1,-1.1,9.9,,9.3,
1996,3,20,6.4,2.5,12.4,,7.2,
1996,3,21,6.6,5.5,7.5,41.5,0.0,
1996,3,22,9.7,6.4,14.2,0.0,2.4,
1996,3,23,7.4,4.1,8.8,,0.0,
1996,3,24,5.1,1.4,7.2,0.5,0.5,
1996,3,25,8.6,4.0,14.6,,9.4,
1996,3,26,8.8,4.2,14.7,,9.6,
1996,3,27,10.5,6.4,16.7,,2.2,
1996,3,28,9.0,6.1,12.2,,0.0,
1996,3,29,8.7,7.6,10.8,20.5,0.0,
1996,3,30,9.4,7.5,13.5,17.5,2.2,
1996,3,31,9.2,5.7,14.2,,10.2,
