year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1996,5,1,11.7,8.8,16.8,0.5,1.5,
1996,5,2,13.7,9.1,20.1,0.2,9.6,
1996,5,3,13.8,5.0,22.6,,6.7,
1996,5,4,10.1,7.7,14.2,10.5,0.0,
1996,5,5,7.9,2.4,12.0,,6.4,
1996,5,6,8.3,0.6,16.7,,7.7,
1996,5,7,12.4,6.2,18.7,0.0,8.9,
1996,5,8,10.9,7.6,16.6,1.5,5.4,
1996,5,9,11.2,4.8,17.7,,9.7,
1996,5,10,13.6,7.0,19.4,,11.5,
1996,5,11,12.0,7.2,16.9,0.5,5.5,
1996,5,12,11.1,4.1,19.3,,9.4,
1996,5,13,13.2,6.3,19.4,3.5,8.0,
1996,5,14,9.5,6.3,12.4,0.5,0.0,
1996,5,15,13.1,2.8,23.9,,10.9,
1996,5,16,16.2,5.8,27.6,,8.0,
1996,5,17,13.7,6.8,23.3,,5.2,
1996,5,18,15.0,4.5,24.8,,8.3,
1996,5,19,15.3,7.4,23.1,1.5,7.4,
1996,5,20,14.8,11.1,17.4,7.5,2.3,
1996,5,21,13.8,10.2,17.5,6.5,5.4,
1996,5,22,13.3,7.1,21.1,,8.3,
1996,5,23,15.3,8.0,24.9,,8.4,
1996,5,24,17.9,7.8,28.0,,8.6,
1996,5,25,18.9,8.2,27.3,,11.5,
1996,5,26,19.6,13.5,26.0,,8.8,
1996,5,27,17.3,10.3,23.5,,9.2,
1996,5,28,16.6,9.9,23.3,,5.5,
1996,5,29,14.0,9.5,17.7,2.0,0.0,
1996,5,30,16.1,11.3,21.4,,3.6,
1996,5,31,18.9,11.2,24.8,,10.8,
