year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1987,8,1,24.8,23.4,28.2,0.0,2.2,
1987,8,2,24.0,22.6,26.3,6.1,0.2,
1987,8,3,23.9,23.0,26.1,30.7,0.6,
1987,8,4,25.9,24.2,28.2,3.1,1.0,
1987,8,5,25.1,23.0,30.5,0.2,5.9,
1987,8,6,24.8,21.7,29.8,0.0,8.0,
1987,8,7,23.8,21.8,25.9,10.6,0.0,
1987,8,8,22.5,20.0,25.9,0.9,7.1,
1987,8,9,24.8,21.9,28.8,,7.7,
1987,8,10,25.0,21.6,29.3,,9.6,
1987,8,11,23.9,22.0,26.3,,2.8,
1987,8,12,25.0,20.7,30.6,,9.1,
1987,8,13,25.1,21.8,29.4,,10.0,
1987,8,14,26.0,22.7,29.9,,8.1,
1987,8,15,26.5,24.0,29.4,0.0,10.7,
1987,8,16,24.3,22.3,25.9,101.5,0.0,
1987,8,17,23.7,22.7,26.1,36.9,1.1,
1987,8,18,24.3,21.6,29.0,,8.7,
1987,8,19,25.0,21.8,28.5,,9.6,
1987,8,20,25.9,23.9,28.8,4.4,5.7,
1987,8,21,24.7,23.0,28.0,35.4,1.0,
1987,8,22,23.7,20.7,28.4,16.9,4.9,
1987,8,23,24.7,22.4,28.2,0.0,4.3,
1987,8,24,23.3,21.6,25.3,29.0,0.5,
1987,8,25,24.3,23.2,25.5,10.6,0.0,
1987,8,26,25.6,23.5,30.6,,9.8,
1987,8,27,26.0,24.0,29.0,0.0,5.6,
1987,8,28,25.9,24.8,28.2,1.8,1.6,
1987,8,29,27.5,25.2,30.6,0.0,9.8,
1987,8,30,25.0,19.8,29.6,17.7,1.8,
1987,8,31,22.6,18.9,27.6,21.7,8.8,
