year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,7,1,24.6,20.1,28.0,52.7,6.9,
2018,7,2,25.2,23.1,28.5,7.6,2.0,
2018,7,3,23.4,22.4,24.6,62.7,0.0,
2018,7,4,24.0,21.7,28.2,0.1,10.6,
2018,7,5,23.5,22.4,24.9,3.4,0.0,
2018,7,6,21.8,20.6,23.0,1.1,0.0,
2018,7,7,21.9,19.4,26.1,,7.8,
2018,7,8,20.7,18.6,23.9,0.0,1.0,
2018,7,9,20.4,19.0,22.4,9.9,0.0,
2018,7,10,24.6,20.1,30.6,,7.0,
2018,7,11,26.8,22.9,31.3,,11.3,
2018,7,12,26.4,23.0,30.7,,11.5,
2018,7,13,26.6,23.7,30.8,,12.0,
2018,7,14,25.8,23.5,30.7,,12.5,
2018,7,15,25.8,23.6,29.9,,12.4,
2018,7,16,26.4,23.2,32.3,,12.3,
2018,7,17,26.3,23.0,31.2,,12.2,
2018,7,18,26.4,23.3,30.3,,12.1,
2018,7,19,27.4,23.5,31.5,,12.2,
2018,7,20,28.4,24.1,33.8,,11.9,
2018,7,21,29.3,26.3,33.5,,11.8,
2018,7,22,28.6,26.4,33.5,,4.5,
2018,7,23,28.8,25.7,33.0,,12.0,
2018,7,24,28.7,25.8,32.4,,12.0,
2018,7,25,28.7,26.0,33.2,,11.9,
2018,7,26,29.2,25.7,34.6,,11.3,
2018,7,27,29.7,26.3,34.9,,10.1,
2018,7,28,28.6,26.3,32.7,0.0,6.1,
2018,7,29,29.8,25.7,36.9,0.0,9.1,
2018,7,30,29.2,24.8,34.4,1.7,11.3,
2018,7,31,29.8,26.2,35.7,,11.6,
