year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,4,1,10.3,-1.1,20.8,,11.5,
2011,4,2,10.2,5.8,15.9,,1.7,
2011,4,3,6.7,3.4,8.9,6.0,0.0,
2011,4,4,7.3,1.6,15.3,,4.9,
2011,4,5,7.8,-0.2,18.0,,10.1,
2011,4,6,10.6,0.2,17.5,0.0,8.2,
2011,4,7,12.7,10.7,14.6,31.5,0.0,
2011,4,8,11.2,5.8,16.7,2.5,8.7,
2011,4,9,9.9,2.7,18.8,,10.2,
2011,4,10,11.0,2.5,20.0,,10.2,
2011,4,11,9.8,3.1,15.3,1.5,11.4,
2011,4,12,8.8,0.2,17.1,,12.0,
2011,4,13,9.7,1.0,18.6,,11.8,
2011,4,14,11.5,-0.2,20.4,,10.0,
2011,4,15,15.4,11.5,21.6,0.1,5.5,
2011,4,16,11.9,6.9,18.0,,10.6,
2011,4,17,11.1,4.4,18.9,,11.2,
2011,4,18,7.9,5.0,11.7,2.0,3.5,
2011,4,19,9.0,4.4,15.7,,10.9,
2011,4,20,10.0,2.1,19.2,,10.3,
2011,4,21,12.5,2.7,18.5,,6.4,
2011,4,22,12.5,8.7,15.5,48.5,0.0,
2011,4,23,10.6,6.0,15.9,,12.0,
2011,4,24,10.3,4.5,16.4,,11.0,
2011,4,25,13.7,6.8,18.8,0.2,10.2,
2011,4,26,15.2,11.7,19.3,15.5,1.1,
2011,4,27,12.0,6.9,16.8,,5.5,
2011,4,28,10.5,5.3,15.6,,11.9,
2011,4,29,12.9,2.7,18.5,,9.6,
2011,4,30,19.3,16.3,23.9,12.5,1.1,
