year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,7,1,23.9,19.0,29.7,,7.3,
2021,7,2,23.5,16.3,28.8,0.0,7.9,
2021,7,3,20.9,20.0,23.1,24.0,0.1,
2021,7,4,23.6,20.1,27.8,5.9,3.7,
2021,7,5,21.3,19.5,23.7,31.0,0.0,
2021,7,6,22.0,20.1,24.8,25.2,0.1,
2021,7,7,23.2,21.3,26.5,42.7,0.3,
2021,7,8,23.9,21.1,27.3,69.1,1.9,
2021,7,9,24.2,21.2,29.8,2.2,5.7,
2021,7,10,23.6,20.5,30.3,5.8,6.0,
2021,7,11,24.1,19.6,30.3,1.2,7.8,
2021,7,12,26.0,20.9,31.6,0.0,8.1,
2021,7,13,26.5,21.7,32.4,,5.5,
2021,7,14,26.3,21.6,32.5,0.0,7.7,
2021,7,15,25.5,21.7,32.5,0.0,4.9,
2021,7,16,25.3,21.0,31.1,,6.3,
2021,7,17,24.8,21.3,28.7,0.0,4.4,
2021,7,18,24.2,20.1,30.0,2.3,7.1,
2021,7,19,24.2,21.7,29.1,5.0,2.2,
2021,7,20,25.7,22.5,29.7,0.0,3.8,
2021,7,21,25.7,20.5,31.4,,10.6,
2021,7,22,25.1,19.6,29.9,,9.3,
2021,7,23,25.7,20.7,30.5,,9.9,
2021,7,24,26.2,22.1,31.2,,8.7,
2021,7,25,25.8,20.9,29.9,,7.3,
2021,7,26,25.6,21.2,31.2,,7.6,
2021,7,27,26.0,19.7,31.7,0.4,10.0,
2021,7,28,26.3,20.7,32.5,,11.8,
2021,7,29,27.4,21.7,32.6,,8.7,
2021,7,30,27.6,23.2,33.7,,8.2,
2021,7,31,28.2,23.2,33.0,2.3,8.2,
