year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1974,6,1,19.6,14.8,25.3,,12.9,
1974,6,2,21.9,12.3,29.6,,10.3,
1974,6,3,20.6,15.0,25.7,5.5,7.2,
1974,6,4,16.0,12.9,21.0,2.5,7.4,
1974,6,5,15.7,12.0,21.2,0.5,6.9,
1974,6,6,17.4,11.8,22.3,,9.4,
1974,6,7,18.8,13.8,24.8,,9.6,
1974,6,8,20.8,12.0,29.6,,12.1,
1974,6,9,23.2,14.8,32.2,,10.8,
1974,6,10,18.7,15.8,22.1,16.0,0.0,
1974,6,11,20.6,14.8,27.0,,11.1,
1974,6,12,20.7,11.4,28.0,,10.6,
1974,6,13,21.4,14.8,28.2,,8.3,
1974,6,14,23.6,14.6,31.2,,12.4,
1974,6,15,24.1,17.0,31.8,,12.6,
1974,6,16,23.3,14.0,31.9,,10.2,
1974,6,17,20.1,17.5,22.3,16.0,2.3,
1974,6,18,21.7,16.0,25.5,,11.3,
1974,6,19,19.7,13.0,27.6,,10.7,
1974,6,20,17.6,12.8,23.5,5.0,3.9,
1974,6,21,17.0,12.1,22.2,1.0,5.9,
1974,6,22,19.7,15.9,25.4,6.5,8.1,
1974,6,23,21.0,16.5,26.4,,11.6,
1974,6,24,18.3,15.8,25.0,0.5,8.9,
1974,6,25,20.1,14.3,29.2,,9.9,
1974,6,26,23.6,16.0,31.2,,10.3,
1974,6,27,21.9,17.0,29.0,0.0,10.8,
1974,6,28,18.8,14.0,26.0,,6.0,
1974,6,29,21.7,16.8,28.3,,10.1,
1974,6,30,23.3,15.6,30.9,,12.1,
