year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,9,1,23.5,17.8,29.9,,10.5,
2014,9,2,21.6,19.1,25.4,18.5,0.0,
2014,9,3,22.8,21.0,24.6,8.0,0.0,
2014,9,4,23.8,20.4,29.0,,10.4,
2014,9,5,24.1,18.0,30.2,,11.0,
2014,9,6,24.7,20.9,30.4,,6.7,
2014,9,7,25.1,21.1,31.0,,9.7,
2014,9,8,24.2,20.5,31.2,,9.9,
2014,9,9,22.5,18.0,28.5,,2.8,
2014,9,10,21.9,16.8,27.5,,11.8,
2014,9,11,22.9,16.7,29.5,,9.3,
2014,9,12,21.8,19.7,25.9,2.0,0.4,
2014,9,13,23.2,17.4,29.0,,11.6,
2014,9,14,22.3,17.8,28.0,,8.1,
2014,9,15,22.4,18.9,28.4,0.0,7.5,
2014,9,16,22.5,18.3,29.3,,8.2,
2014,9,17,21.9,18.9,26.9,0.0,6.1,
2014,9,18,21.9,17.8,26.1,,3.7,
2014,9,19,20.2,17.0,24.4,,2.1,
2014,9,20,21.0,15.0,27.4,,7.8,
2014,9,21,22.1,16.1,28.3,,11.2,
2014,9,22,22.2,15.9,29.9,,10.0,
2014,9,23,21.2,17.5,26.2,11.0,0.3,
2014,9,24,20.3,17.7,22.8,67.0,0.3,
2014,9,25,21.1,16.7,27.2,,8.8,
2014,9,26,21.5,17.5,27.9,5.5,5.9,
2014,9,27,21.6,17.5,27.4,,8.6,
2014,9,28,22.8,17.0,29.1,,10.4,
2014,9,29,20.7,18.9,22.5,4.5,0.0,
2014,9,30,20.6,16.7,25.3,0.0,6.1,
