year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1991,1,1,0.6,-2.0,3.1,0.2,0.0,0.2
1991,1,2,-6.0,-11.3,-1.7,,8.4,
1991,1,3,-8.2,-14.6,-2.5,1.0,5.7,3.7
1991,1,4,-8.1,-13.2,-4.6,,8.1,
1991,1,5,-12.0,-19.1,-5.7,,8.2,
1991,1,6,-11.6,-17.6,-3.7,,8.2,
1991,1,7,-7.2,-12.0,-3.0,3.5,1.8,9.0
1991,1,8,-8.2,-15.1,-2.4,,6.8,
1991,1,9,-9.8,-13.6,-2.8,0.1,5.3,0.3
1991,1,10,-4.4,-9.9,3.0,0.0,6.3,0.0
1991,1,11,-5.2,-8.5,0.6,,5.7,
1991,1,12,-5.1,-9.7,1.1,,6.5,
1991,1,13,-8.4,-17.3,-1.9,,8.9,
1991,1,14,-10.4,-16.1,-3.0,,6.6,
1991,1,15,-7.2,-12.4,-1.1,0.0,4.3,0.2
1991,1,16,-3.6,-9.5,2.7,6.3,1.2,0.3
1991,1,17,-1.9,-7.4,1.7,0.2,8.2,
1991,1,18,-6.6,-11.6,0.9,,7.2,
1991,1,19,-5.3,-9.9,2.1,,5.8,
1991,1,20,-3.1,-8.3,3.9,,5.6,
1991,1,21,1.4,-2.7,6.9,,3.2,
1991,1,22,1.8,-1.4,2.8,0.0,0.0,
1991,1,23,-0.6,-5.0,5.6,,7.6,
1991,1,24,-0.8,-2.8,1.2,7.0,0.0,10.3
1991,1,25,-3.6,-11.6,2.1,,7.6,
1991,1,26,-7.1,-12.7,2.3,,7.1,
1991,1,27,-6.5,-11.5,1.7,,7.0,
1991,1,28,-5.3,-10.7,3.6,,6.9,
1991,1,29,-4.4,-9.8,4.6,,7.3,
1991,1,30,-3.5,-8.8,5.2,,6.5,
1991,1,31,-3.7,-9.1,4.5,,5.0,
