year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,6,1,20.1,14.6,26.0,,8.0,
2004,6,2,21.1,17.5,25.0,,6.9,
2004,6,3,20.7,16.2,26.7,,11.2,
2004,6,4,21.3,16.9,25.9,,9.8,
2004,6,5,22.1,18.3,25.1,,11.1,
2004,6,6,22.5,20.2,26.9,,4.6,
2004,6,7,18.7,16.8,20.5,5.0,0.0,
2004,6,8,18.3,16.9,20.3,,0.0,
2004,6,9,20.5,17.3,24.0,,10.4,
2004,6,10,21.6,18.2,28.4,,9.4,
2004,6,11,21.5,18.1,27.5,,9.4,
2004,6,12,21.6,19.1,26.7,,5.4,
2004,6,13,22.1,18.2,27.3,,12.2,
2004,6,14,22.1,17.5,27.5,,10.6,
2004,6,15,21.9,19.1,26.5,,8.5,
2004,6,16,21.2,18.8,24.4,0.2,3.4,
2004,6,17,19.0,17.1,20.7,46.5,0.0,
2004,6,18,20.6,18.5,25.2,19.5,1.8,
2004,6,19,20.0,18.4,22.2,36.5,0.0,
2004,6,20,24.7,20.8,27.4,1.0,2.7,
2004,6,21,21.9,20.4,25.5,4.5,0.4,
2004,6,22,22.0,19.3,24.8,,3.9,
2004,6,23,23.3,20.1,26.7,,8.1,
2004,6,24,20.7,18.8,22.6,44.5,0.0,
2004,6,25,19.5,18.5,20.3,23.5,0.0,
2004,6,26,21.6,19.8,23.9,0.0,1.8,
2004,6,27,22.4,20.0,24.9,,5.1,
2004,6,28,22.7,20.8,26.4,,8.2,
2004,6,29,22.9,21.2,25.3,,6.2,
2004,6,30,23.2,21.3,27.3,,0.0,
