year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2001,1,1,7.1,2.9,11.4,,8.1,
2001,1,2,9.9,6.7,14.0,,4.8,
2001,1,3,6.5,4.2,9.0,,5.9,
2001,1,4,6.4,2.6,10.2,,7.5,
2001,1,5,6.3,3.4,10.5,,6.2,
2001,1,6,7.5,2.5,10.8,3.2,3.6,
2001,1,7,11.4,8.7,15.6,29.0,0.1,
2001,1,8,11.3,7.5,14.2,,4.6,
2001,1,9,11.1,7.8,16.7,14.4,2.0,
2001,1,10,7.0,3.9,10.4,,7.0,
2001,1,11,6.8,2.9,11.8,,4.8,
2001,1,12,5.7,1.7,10.5,,7.9,
2001,1,13,5.2,0.3,10.0,3.7,7.7,
2001,1,14,-0.1,-3.0,3.1,3.6,4.9,1.3
2001,1,15,-0.2,-2.6,2.5,0.6,6.5,0.4
2001,1,16,1.6,-0.5,5.4,0.3,7.3,0.3
2001,1,17,3.9,0.5,8.1,,5.3,
2001,1,18,6.9,3.1,11.1,,4.4,
2001,1,19,9.4,4.6,11.6,4.6,0.0,
2001,1,20,11.5,6.3,15.5,47.0,5.2,
2001,1,21,9.1,5.7,13.8,,8.7,
2001,1,22,8.0,6.9,9.3,1.7,0.0,
2001,1,23,9.2,4.8,13.8,,7.4,
2001,1,24,9.9,8.2,11.8,21.5,0.1,
2001,1,25,10.3,9.5,12.1,2.6,0.0,
2001,1,26,8.2,6.8,9.7,16.3,0.0,
2001,1,27,6.9,5.2,9.7,0.7,4.8,
2001,1,28,4.8,1.3,9.0,1.0,0.9,0.0
2001,1,29,5.3,1.3,8.8,,7.0,
2001,1,30,5.6,2.4,8.4,,3.4,
2001,1,31,9.1,2.1,12.6,0.5,1.8,
