year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,4,1,14.8,7.4,23.4,,7.0,
2018,4,2,16.4,9.6,23.0,,10.3,
2018,4,3,16.9,11.4,22.9,,7.0,
2018,4,4,14.5,10.6,18.1,17.4,0.0,
2018,4,5,10.3,9.3,11.3,5.0,0.0,
2018,4,6,10.1,4.2,14.2,15.0,7.3,
2018,4,7,4.6,1.0,9.7,0.5,9.3,
2018,4,8,8.6,-0.9,14.6,,10.8,
2018,4,9,12.4,5.9,20.5,,11.6,
2018,4,10,13.9,4.0,20.5,,7.5,
2018,4,11,16.9,9.3,23.9,0.1,9.8,
2018,4,12,13.3,4.5,22.0,,5.3,
2018,4,13,13.8,8.1,17.7,,1.4,
2018,4,14,11.0,8.9,16.3,27.0,0.9,
2018,4,15,10.7,6.0,17.3,,11.2,
2018,4,16,11.2,5.1,17.0,,8.2,
2018,4,17,12.8,7.1,19.1,,10.7,
2018,4,18,13.0,4.5,21.0,,12.1,
2018,4,19,14.7,1.9,25.0,,12.2,
2018,4,20,16.3,4.9,26.2,,12.0,
2018,4,21,15.4,5.8,23.5,,12.0,
2018,4,22,17.3,13.8,20.6,8.0,0.0,
2018,4,23,13.1,12.5,13.9,60.0,0.0,
2018,4,24,13.7,12.7,15.5,7.5,0.0,
2018,4,25,14.3,9.8,19.4,0.1,9.2,
2018,4,26,14.8,7.1,22.2,,8.4,
2018,4,27,16.4,10.1,23.2,,11.0,
2018,4,28,15.6,8.6,24.3,,11.9,
2018,4,29,15.1,6.1,21.7,,10.1,
2018,4,30,16.5,12.3,21.4,,0.3,
