year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1973,2,1,2.0,-2.8,8.9,,4.2,
1973,2,2,0.2,-4.8,6.7,,6.0,
1973,2,3,4.6,0.3,7.3,10.1,0.0,
1973,2,4,6.3,3.0,9.9,0.3,0.5,
1973,2,5,5.1,2.1,7.5,3.1,0.0,
1973,2,6,0.6,-4.2,3.7,0.0,6.0,
1973,2,7,-3.5,-5.3,-0.9,,5.9,
1973,2,8,-3.5,-6.7,-0.9,0.3,4.6,0.6
1973,2,9,-1.9,-4.5,2.6,1.3,5.7,2.1
1973,2,10,-1.4,-4.4,2.0,,2.4,
1973,2,11,0.3,-2.0,4.3,,7.1,
1973,2,12,0.0,-4.5,4.5,,3.3,
1973,2,13,1.7,-4.8,7.9,,7.1,
1973,2,14,2.3,-1.7,8.7,,7.7,
1973,2,15,2.3,-5.0,10.8,,8.3,
1973,2,16,5.2,-4.0,16.8,,7.3,
1973,2,17,8.4,5.3,12.2,7.9,0.2,
1973,2,18,5.0,3.3,6.1,,0.0,
1973,2,19,5.2,3.3,8.1,0.2,0.0,
1973,2,20,-0.7,-4.0,4.1,,7.2,
1973,2,21,2.3,-4.4,8.6,0.0,5.5,
1973,2,22,6.8,5.1,12.2,6.7,3.1,
1973,2,23,1.4,-2.8,3.8,0.2,5.7,0.2
1973,2,24,-4.4,-7.5,-0.4,0.3,4.1,0.3
1973,2,25,-4.1,-9.0,-0.1,,1.8,
1973,2,26,0.5,-5.0,6.4,,8.1,
1973,2,27,1.3,-2.5,5.3,,0.0,
1973,2,28,3.1,-0.2,5.9,,0.0,
