year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1992,8,1,27.9,25.6,31.1,,7.6,
1992,8,2,26.4,24.5,28.8,,9.4,
1992,8,3,25.9,23.7,27.6,,9.9,
1992,8,4,24.3,22.8,27.8,,9.9,
1992,8,5,23.5,21.0,25.6,13.0,0.6,
1992,8,6,26.1,22.3,30.6,,9.3,
1992,8,7,27.9,24.5,32.4,,10.3,
1992,8,8,27.3,24.4,32.9,,8.5,
1992,8,9,25.8,22.1,30.0,,9.1,
1992,8,10,26.8,23.4,31.7,0.0,8.0,
1992,8,11,27.6,23.4,31.6,9.5,7.8,
1992,8,12,24.2,22.4,25.8,296.5,0.0,
1992,8,13,25.0,24.0,28.2,0.5,3.9,
1992,8,14,25.9,23.7,27.3,3.5,0.4,
1992,8,15,26.0,24.0,29.1,,6.3,
1992,8,16,26.3,23.8,30.4,,10.4,
1992,8,17,26.3,25.4,27.3,,3.8,
1992,8,18,25.8,24.0,27.9,,4.6,
1992,8,19,27.3,24.1,32.3,,7.9,
1992,8,20,26.9,24.0,29.7,,9.5,
1992,8,21,25.8,22.2,29.9,,11.2,
1992,8,22,26.3,22.5,29.7,,10.3,
1992,8,23,27.0,22.1,32.0,,10.0,
1992,8,24,27.0,23.1,31.1,,5.5,
1992,8,25,25.3,23.7,30.3,20.2,4.8,
1992,8,26,26.6,23.6,28.1,3.0,3.4,
1992,8,27,28.2,26.6,31.7,,8.8,
1992,8,28,28.4,26.3,31.9,,11.3,
1992,8,29,28.4,26.0,30.5,,11.0,
1992,8,30,28.4,26.8,30.7,,8.9,
1992,8,31,27.4,25.6,28.2,6.0,0.9,
