year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1994,3,1,-0.9,-8.4,7.1,,9.3,
1994,3,2,1.4,-8.5,8.0,,8.9,
1994,3,3,1.1,-4.7,6.3,0.0,0.0,
1994,3,4,2.4,-3.8,7.7,6.5,2.4,2.8
1994,3,5,2.7,-2.5,9.3,2.0,6.4,1.5
1994,3,6,3.0,-4.3,11.5,,4.6,
1994,3,7,6.0,1.6,9.8,12.0,0.0,
1994,3,8,7.6,2.6,13.5,,2.4,
1994,3,9,2.4,-2.4,7.1,,5.0,
1994,3,10,-1.3,-6.3,4.8,,9.9,
1994,3,11,-0.1,-7.8,8.4,,7.5,
1994,3,12,3.0,-0.5,10.0,,4.7,
1994,3,13,1.8,-2.9,7.8,,6.9,
1994,3,14,-0.2,-7.6,5.4,,9.4,
1994,3,15,1.3,-4.6,8.1,,9.9,
1994,3,16,4.0,-4.1,9.7,,7.2,
1994,3,17,3.7,-4.4,12.9,,9.4,
1994,3,18,3.3,-6.1,14.4,,10.1,
1994,3,19,4.2,-6.3,15.5,,9.9,
1994,3,20,3.2,-1.6,10.1,,5.7,
1994,3,21,4.8,-1.1,11.2,,4.8,
1994,3,22,2.2,-1.1,7.5,7.5,0.0,
1994,3,23,3.9,-1.5,8.9,0.5,9.4,
1994,3,24,-0.4,-4.6,2.5,3.8,0.9,3.3
1994,3,25,0.2,-3.2,4.1,0.0,5.6,
1994,3,26,1.4,-5.7,8.0,,8.4,
1994,3,27,5.1,-1.9,11.8,,10.2,
1994,3,28,7.7,0.8,15.3,,6.6,
1994,3,29,6.5,-1.4,15.0,,8.2,
1994,3,30,5.8,-4.5,17.0,,10.1,
1994,3,31,8.6,-1.5,20.1,,10.1,
