year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1985,6,1,18.9,13.2,26.0,0.3,10.3,
1985,6,2,21.3,14.6,27.5,,11.4,
1985,6,3,21.4,13.2,29.0,,11.6,
1985,6,4,21.6,14.6,28.4,,11.9,
1985,6,5,22.1,13.2,30.5,,12.9,
1985,6,6,22.2,13.6,30.3,,11.3,
1985,6,7,18.1,15.6,23.1,5.7,0.4,
1985,6,8,20.3,14.4,25.9,,11.0,
1985,6,9,21.2,15.0,26.2,,10.4,
1985,6,10,22.5,19.0,26.8,0.1,6.7,
1985,6,11,22.4,19.6,26.8,,7.0,
1985,6,12,20.3,16.6,26.6,8.2,10.7,
1985,6,13,19.8,15.0,22.7,1.7,7.9,
1985,6,14,17.8,13.2,21.6,,9.5,
1985,6,15,17.9,14.2,24.0,,11.5,
1985,6,16,19.7,11.1,27.4,0.7,12.5,
1985,6,17,22.3,17.8,28.4,1.0,10.3,
1985,6,18,22.5,16.6,29.2,0.0,10.6,
1985,6,19,22.1,14.3,29.9,,12.4,
1985,6,20,23.0,16.2,31.0,,12.2,
1985,6,21,22.6,18.2,25.7,,3.4,
1985,6,22,23.6,19.0,29.7,,7.5,
1985,6,23,21.5,20.0,22.7,6.7,0.0,
1985,6,24,20.5,19.8,21.7,18.4,0.1,
1985,6,25,22.9,20.1,28.8,0.6,8.4,
1985,6,26,23.0,19.4,28.2,,6.7,
1985,6,27,20.5,18.9,22.1,22.6,0.0,
1985,6,28,22.1,17.2,26.4,,10.8,
1985,6,29,23.7,18.6,29.4,,9.5,
1985,6,30,23.5,20.6,27.0,0.4,4.5,
