year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1986,5,1,12.6,10.5,15.6,14.4,0.0,
1986,5,2,14.7,8.9,21.6,0.0,5.7,
1986,5,3,17.5,11.5,25.8,,8.1,
1986,5,4,18.8,9.5,27.8,,11.8,
1986,5,5,18.4,10.3,27.2,,9.6,
1986,5,6,17.4,8.9,27.1,,10.2,
1986,5,7,16.9,9.1,25.9,,9.7,
1986,5,8,19.5,10.8,28.5,,11.6,
1986,5,9,14.7,10.0,20.4,6.0,8.2,
1986,5,10,11.6,7.2,18.6,4.8,0.9,
1986,5,11,13.2,9.3,19.2,,7.2,
1986,5,12,15.0,7.4,24.9,,8.0,
1986,5,13,15.6,13.3,18.1,10.9,0.0,
1986,5,14,14.3,11.1,18.3,0.5,6.5,
1986,5,15,11.4,10.0,13.2,0.0,0.0,
1986,5,16,13.7,9.8,19.3,,6.3,
1986,5,17,15.7,5.8,26.0,,11.5,
1986,5,18,17.7,11.4,24.8,9.5,4.8,
1986,5,19,16.5,15.1,19.7,15.8,0.0,
1986,5,20,17.0,10.6,23.4,,12.1,
1986,5,21,14.8,8.7,21.1,,9.0,
1986,5,22,15.6,9.3,23.9,,9.1,
1986,5,23,17.7,8.9,25.4,,10.2,
1986,5,24,18.2,13.6,23.7,0.0,4.5,
1986,5,25,19.0,10.7,26.8,,12.5,
1986,5,26,19.1,14.4,24.4,,3.7,
1986,5,27,19.0,13.3,26.1,,7.1,
1986,5,28,18.1,9.7,25.3,,10.4,
1986,5,29,20.2,14.3,28.3,,7.4,
1986,5,30,21.4,14.3,30.3,,10.4,
1986,5,31,21.4,14.6,26.6,,11.3,
