year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,9,1,24.1,19.8,32.6,,6.8,
2011,9,2,22.3,17.1,28.0,,5.1,
2011,9,3,22.2,21.4,24.8,0.3,1.3,
2011,9,4,20.7,18.4,24.2,,2.2,
2011,9,5,20.5,17.0,26.6,0.1,4.5,
2011,9,6,19.3,14.4,27.4,,6.2,
2011,9,7,18.8,13.1,26.2,,5.3,
2011,9,8,18.4,16.8,22.0,0.4,0.2,
2011,9,9,17.2,15.8,21.1,0.4,0.0,
2011,9,10,16.8,15.3,18.7,10.0,0.0,
2011,9,11,18.4,16.4,21.5,50.0,0.0,
2011,9,12,21.4,17.9,27.8,18.5,2.8,
2011,9,13,21.9,18.8,27.2,,1.6,
2011,9,14,23.2,19.6,29.7,,5.1,
2011,9,15,22.1,18.3,29.6,,5.8,
2011,9,16,22.4,17.6,30.6,,6.8,
2011,9,17,22.1,19.3,28.1,,3.7,
2011,9,18,17.5,14.5,20.3,0.5,0.0,
2011,9,19,13.8,11.9,15.7,0.4,0.0,
2011,9,20,14.8,11.5,18.2,,4.0,
2011,9,21,14.4,8.2,19.6,,5.8,
2011,9,22,12.9,7.7,22.1,,5.8,
2011,9,23,13.6,8.8,22.8,,4.4,
2011,9,24,14.3,10.1,23.5,,5.7,
2011,9,25,14.5,10.0,23.7,,6.1,
2011,9,26,14.6,9.9,25.7,,5.7,
2011,9,27,14.2,8.1,26.1,,7.4,
2011,9,28,14.0,8.6,21.3,,1.3,
2011,9,29,13.6,12.5,14.3,7.5,0.0,
2011,9,30,14.3,8.0,19.9,,7.5,
