year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1978,8,1,27.2,24.3,30.9,3.0,6.3,
1978,8,2,28.2,24.9,32.4,0.7,3.7,
1978,8,3,27.5,23.0,32.5,,10.8,
1978,8,4,26.6,20.0,33.8,,11.7,
1978,8,5,26.8,20.1,33.1,,11.3,
1978,8,6,27.6,25.2,32.4,0.8,7.7,
1978,8,7,27.2,23.8,32.8,0.6,7.0,
1978,8,8,27.7,24.3,32.4,,10.9,
1978,8,9,27.3,23.8,32.3,,9.8,
1978,8,10,27.9,23.1,33.4,,10.7,
1978,8,11,27.9,23.2,32.1,7.3,8.3,
1978,8,12,27.5,25.5,30.7,0.3,8.0,
1978,8,13,26.9,23.2,30.9,22.8,6.6,
1978,8,14,26.6,23.4,30.9,0.0,8.4,
1978,8,15,27.2,22.1,32.9,,9.4,
1978,8,16,27.9,23.5,32.3,0.3,3.8,
1978,8,17,27.1,23.7,32.9,4.5,6.0,
1978,8,18,27.3,24.7,31.6,21.1,5.7,
1978,8,19,24.8,22.3,27.8,81.0,0.0,
1978,8,20,23.7,19.8,27.8,46.1,4.5,
1978,8,21,23.6,19.2,28.5,,5.0,
1978,8,22,25.7,21.9,30.0,,5.3,
1978,8,23,27.1,24.6,32.4,,9.8,
1978,8,24,26.6,23.8,31.5,0.6,8.8,
1978,8,25,25.9,22.4,31.5,,7.9,
1978,8,26,27.0,22.6,32.8,,9.8,
1978,8,27,27.0,22.2,32.8,,10.5,
1978,8,28,27.0,22.2,34.2,,9.5,
1978,8,29,27.7,23.9,33.0,,9.4,
1978,8,30,25.2,22.7,30.4,0.0,6.6,
1978,8,31,25.7,21.6,30.7,,9.1,
