year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,7,1,25.0,20.2,29.7,,9.2,
2004,7,2,23.3,21.5,26.2,13.5,0.3,
2004,7,3,24.0,21.7,28.8,42.0,2.6,
2004,7,4,23.3,21.3,26.5,11.5,1.0,
2004,7,5,23.1,19.7,27.7,2.5,6.0,
2004,7,6,24.6,20.0,29.6,,9.6,
2004,7,7,23.5,21.0,26.7,55.5,0.0,
2004,7,8,22.6,19.2,26.5,,4.7,
2004,7,9,23.4,18.0,29.6,,8.8,
2004,7,10,24.1,19.2,30.1,,10.2,
2004,7,11,21.9,18.5,25.2,9.0,1.1,
2004,7,12,26.2,21.3,30.7,,5.3,
2004,7,13,26.3,23.2,30.8,,6.2,
2004,7,14,21.7,20.1,23.6,85.5,0.0,
2004,7,15,23.3,20.5,28.0,25.5,1.7,
2004,7,16,26.0,22.7,29.6,1.0,5.4,
2004,7,17,24.3,22.5,28.1,23.0,0.5,
2004,7,18,25.9,22.6,30.2,,5.2,
2004,7,19,26.8,23.2,31.5,0.0,7.9,
2004,7,20,26.9,23.7,31.0,,7.6,
2004,7,21,27.9,23.2,33.2,,10.8,
2004,7,22,28.2,24.2,34.2,,10.2,
2004,7,23,28.3,22.7,35.2,,10.6,
2004,7,24,27.9,23.7,34.0,,9.6,
2004,7,25,27.1,22.2,32.7,,10.5,
2004,7,26,26.6,22.0,32.2,,10.3,
2004,7,27,26.1,21.7,31.5,,7.7,
2004,7,28,27.5,22.0,34.0,,12.0,
2004,7,29,27.3,22.2,35.0,0.0,8.9,
2004,7,30,28.3,23.7,34.7,,8.5,
2004,7,31,25.8,22.3,34.7,35.5,8.8,
