year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1973,9,1,24.9,23.0,28.5,8.5,3.3,
1973,9,2,22.9,19.0,26.0,2.2,4.9,
1973,9,3,21.2,17.1,28.1,4.0,8.1,
1973,9,4,22.2,16.0,29.3,,9.4,
1973,9,5,22.6,18.0,29.7,,7.0,
1973,9,6,20.6,14.9,26.4,,10.9,
1973,9,7,20.1,11.9,29.3,,11.4,
1973,9,8,19.6,12.8,27.5,,6.6,
1973,9,9,18.7,16.3,22.2,74.1,0.0,
1973,9,10,20.4,17.0,25.7,17.3,4.5,
1973,9,11,18.7,14.8,25.8,,9.1,
1973,9,12,18.8,11.2,26.2,,10.2,
1973,9,13,19.2,14.0,25.4,,9.8,
1973,9,14,18.2,11.4,25.8,,10.6,
1973,9,15,18.9,13.7,27.4,,10.1,
1973,9,16,19.5,12.8,28.1,,10.6,
1973,9,17,20.0,13.2,27.9,,8.4,
1973,9,18,20.6,16.8,26.6,,5.1,
1973,9,19,20.0,16.8,25.3,,3.4,
1973,9,20,20.0,15.0,27.5,,7.3,
1973,9,21,19.7,14.6,27.6,,6.6,
1973,9,22,19.2,14.8,27.1,3.8,7.2,
1973,9,23,19.5,14.7,27.0,0.0,8.3,
1973,9,24,18.5,12.0,26.9,,10.1,
1973,9,25,18.1,14.7,22.8,,1.0,
1973,9,26,16.6,9.2,20.0,1.2,7.4,
1973,9,27,14.8,3.5,20.9,,11.2,
1973,9,28,13.1,3.6,23.9,,10.1,
1973,9,29,15.8,10.3,21.9,7.8,1.2,
1973,9,30,17.0,11.0,21.6,,4.6,
