year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,1,1,-1.5,-5.8,2.4,,6.7,
2019,1,2,-1.4,-6.3,4.5,,8.9,
2019,1,3,-0.4,-4.1,4.6,,8.9,
2019,1,4,2.6,-3.1,6.3,,4.3,
2019,1,5,0.8,-3.3,3.5,,8.8,
2019,1,6,0.7,-2.6,5.5,,6.6,
2019,1,7,2.0,-2.0,6.2,,8.4,
2019,1,8,-0.4,-4.9,3.9,,8.9,
2019,1,9,-1.7,-7.5,3.7,,8.6,
2019,1,10,3.5,0.5,7.8,,7.0,
2019,1,11,1.9,-2.2,6.5,,6.7,
2019,1,12,2.4,-0.8,6.5,,0.5,
2019,1,13,2.6,-1.6,8.5,,8.7,
2019,1,14,3.9,-2.2,8.0,,7.1,
2019,1,15,1.2,-4.2,4.9,,7.7,
2019,1,16,-2.4,-9.0,3.7,,7.7,
2019,1,17,2.5,-1.7,6.8,,9.1,
2019,1,18,2.9,-2.8,9.1,,8.5,
2019,1,19,4.4,-2.1,8.5,,1.8,
2019,1,20,2.7,-1.4,5.9,,9.0,
2019,1,21,1.7,-2.9,4.4,,9.0,
2019,1,22,4.2,-1.7,8.2,,9.0,
2019,1,23,4.8,0.6,9.7,,9.1,
2019,1,24,1.4,-3.0,5.7,,9.1,
2019,1,25,-0.1,-3.5,4.1,,9.1,
2019,1,26,-0.2,-4.0,4.6,,9.2,
2019,1,27,2.7,-3.6,9.6,,7.1,
2019,1,28,3.0,-1.4,6.2,,8.8,
2019,1,29,2.4,-3.1,7.7,,9.3,
2019,1,30,7.4,1.7,12.8,,8.5,
2019,1,31,0.6,-4.8,6.9,8.7,0.0,
