year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1976,5,1,5.4,1.9,10.0,10.7,9.9,
1976,5,2,7.4,1.6,14.4,,9.0,
1976,5,3,10.2,3.5,18.2,0.4,10.6,
1976,5,4,6.3,1.8,10.9,,12.3,
1976,5,5,2.9,0.5,6.7,10.2,7.3,1.8
1976,5,6,6.4,1.3,12.3,0.0,9.6,
1976,5,7,8.3,3.1,15.2,0.8,10.9,
1976,5,8,8.1,-0.6,15.0,,12.1,
1976,5,9,11.2,0.0,20.1,,12.6,
1976,5,10,14.1,9.0,20.0,,11.2,
1976,5,11,11.6,7.9,14.6,2.4,3.0,
1976,5,12,10.5,5.6,15.5,,11.7,
1976,5,13,8.6,3.8,14.1,0.0,11.4,
1976,5,14,11.8,3.4,19.5,,12.9,
1976,5,15,13.2,9.6,19.2,0.0,6.6,
1976,5,16,13.1,6.7,17.0,0.2,9.7,
1976,5,17,13.7,5.7,20.3,,12.0,
1976,5,18,11.0,6.7,15.7,12.3,0.0,
1976,5,19,10.8,3.6,16.5,,12.0,
1976,5,20,10.7,4.1,14.4,,7.5,
1976,5,21,12.5,10.3,17.2,,12.2,
1976,5,22,14.9,6.5,22.4,,11.0,
1976,5,23,16.8,9.8,25.0,,12.9,
1976,5,24,17.0,5.2,26.2,,13.1,
1976,5,25,15.9,9.5,24.9,,13.3,
1976,5,26,12.8,6.9,19.3,,12.9,
1976,5,27,14.5,5.0,21.9,,13.5,
1976,5,28,15.5,2.4,25.3,,11.6,
1976,5,29,12.6,9.4,16.8,0.0,6.1,
1976,5,30,14.4,6.7,21.0,,12.4,
1976,5,31,17.2,13.4,23.2,0.0,6.5,
