year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1998,8,1,26.5,25.1,29.3,120.9,6.6,
1998,8,2,25.1,23.6,26.7,136.3,0.6,
1998,8,3,27.7,25.1,30.8,36.0,2.2,
1998,8,4,28.1,24.2,33.0,,10.1,
1998,8,5,28.4,24.3,32.2,,9.1,
1998,8,6,28.9,26.3,31.8,12.5,4.5,
1998,8,7,29.4,25.8,34.2,8.0,11.7,
1998,8,8,28.9,26.1,32.8,21.9,6.1,
1998,8,9,27.6,25.2,31.0,,0.0,
1998,8,10,27.3,24.5,31.1,14.0,4.6,
1998,8,11,27.5,24.6,31.7,10.7,3.5,
1998,8,12,28.3,24.2,33.0,18.6,4.7,
1998,8,13,24.8,24.0,26.5,55.2,0.0,
1998,8,14,25.7,23.7,28.4,5.5,0.5,
1998,8,15,27.9,25.5,31.1,1.1,0.8,
1998,8,16,26.8,25.2,31.0,14.7,4.2,
1998,8,17,25.2,23.1,28.7,6.8,0.8,
1998,8,18,24.9,23.0,28.0,46.1,0.4,
1998,8,19,25.9,21.8,31.3,,11.3,
1998,8,20,25.6,20.0,32.1,,8.1,
1998,8,21,26.1,22.2,30.8,,5.4,
1998,8,22,26.8,23.6,31.3,,8.9,
1998,8,23,25.3,23.6,27.7,2.9,1.1,
1998,8,24,26.0,22.0,30.8,,10.4,
1998,8,25,24.7,19.8,30.5,,8.4,
1998,8,26,24.1,18.9,29.1,,5.7,
1998,8,27,23.8,20.5,27.9,,1.2,
1998,8,28,24.2,19.1,30.5,0.0,9.0,
1998,8,29,24.6,20.4,29.8,0.0,8.0,
1998,8,30,24.0,20.8,28.8,,6.6,
1998,8,31,23.9,19.0,29.3,0.3,7.8,
