year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,8,1,27.2,25.0,31.2,2.0,0.1,
2014,8,2,26.1,24.0,29.1,40.5,0.7,
2014,8,3,24.9,24.0,26.1,13.0,0.1,
2014,8,4,24.5,23.8,25.2,14.0,0.0,
2014,8,5,26.8,23.7,31.6,,10.4,
2014,8,6,26.4,23.3,31.2,,4.1,
2014,8,7,22.9,21.4,24.9,48.0,0.2,
2014,8,8,24.4,22.0,29.4,72.0,1.7,
2014,8,9,26.1,20.9,32.2,,11.1,
2014,8,10,24.4,21.8,28.8,,5.1,
2014,8,11,23.6,20.5,27.6,0.3,12.0,
2014,8,12,24.4,18.5,30.0,,10.2,
2014,8,13,23.1,20.9,26.7,0.4,0.1,
2014,8,14,21.2,19.8,23.0,13.0,0.0,
2014,8,15,23.3,20.2,27.2,,5.9,
2014,8,16,23.3,18.0,28.7,,9.0,
2014,8,17,22.4,21.0,25.6,40.0,0.0,
2014,8,18,23.5,20.9,27.2,213.0,1.9,
2014,8,19,23.6,22.3,26.4,1.5,0.3,
2014,8,20,23.5,21.3,27.2,4.0,0.1,
2014,8,21,23.9,21.9,26.5,13.5,4.3,
2014,8,22,24.5,21.6,29.1,,9.4,
2014,8,23,23.9,19.1,29.0,,9.4,
2014,8,24,23.8,21.4,27.2,4.5,0.2,
2014,8,25,24.6,23.4,27.5,71.5,0.6,
2014,8,26,24.7,22.5,28.3,,4.8,
2014,8,27,24.0,21.1,27.9,0.3,0.5,
2014,8,28,22.2,21.1,23.4,4.5,0.0,
2014,8,29,22.9,20.6,27.5,1.0,4.9,
2014,8,30,22.8,19.3,28.5,,9.0,
2014,8,31,21.8,18.1,26.1,,2.1,
