year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,8,1,28.1,25.1,32.6,,6.9,
1997,8,2,26.6,23.8,30.7,0.3,6.5,
1997,8,3,23.1,20.8,25.7,59.2,0.0,
1997,8,4,22.0,18.9,23.0,19.4,0.0,
1997,8,5,23.4,17.7,30.0,,9.1,
1997,8,6,25.5,21.1,30.9,,7.7,
1997,8,7,24.5,21.6,28.2,0.1,0.0,
1997,8,8,26.9,23.9,30.2,9.2,3.5,
1997,8,9,26.5,22.1,31.7,12.5,9.7,
1997,8,10,23.9,18.3,29.6,,6.2,
1997,8,11,24.7,21.0,29.7,,4.4,
1997,8,12,24.3,20.7,29.3,,11.1,
1997,8,13,24.4,16.8,31.5,,12.3,
1997,8,14,25.2,18.7,31.8,,12.2,
1997,8,15,24.4,19.2,30.4,,11.7,
1997,8,16,23.5,18.0,29.4,,12.1,
1997,8,17,24.4,19.1,30.1,,11.3,
1997,8,18,25.7,19.8,31.5,0.0,8.7,
1997,8,19,22.7,21.5,23.8,82.7,0.0,
1997,8,20,26.2,21.9,32.4,0.5,5.4,
1997,8,21,23.8,20.8,27.3,10.0,0.8,
1997,8,22,23.3,19.9,27.8,,11.4,
1997,8,23,23.0,16.4,28.6,,10.5,
1997,8,24,24.5,19.8,31.1,,5.9,
1997,8,25,24.2,21.0,29.2,,6.4,
1997,8,26,24.1,19.5,29.3,,6.1,
1997,8,27,24.6,21.3,29.3,,6.3,
1997,8,28,23.7,19.4,29.2,,10.0,
1997,8,29,24.7,21.5,28.6,,3.6,
1997,8,30,25.4,22.5,28.9,0.2,5.0,
1997,8,31,26.5,23.6,29.9,7.2,7.1,
