year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1979,7,1,19.7,18.1,22.4,9.4,1.2,
1979,7,2,19.9,16.7,23.5,,7.8,
1979,7,3,17.6,15.4,20.6,,0.0,
1979,7,4,17.8,16.5,19.3,0.6,0.0,
1979,7,5,21.5,16.3,26.0,,12.9,
1979,7,6,23.4,19.6,26.6,,11.3,
1979,7,7,22.1,19.7,28.0,,8.8,
1979,7,8,24.0,19.7,28.6,,11.3,
1979,7,9,20.8,19.2,22.8,,0.0,
1979,7,10,20.6,19.0,22.4,49.2,0.0,
1979,7,11,23.2,20.5,26.5,0.0,3.1,
1979,7,12,20.1,18.5,23.4,0.0,5.6,
1979,7,13,18.6,17.5,19.3,25.6,0.0,
1979,7,14,19.0,17.2,20.0,35.8,0.0,
1979,7,15,19.7,18.1,20.8,17.5,0.0,
1979,7,16,19.2,18.6,21.9,,2.6,
1979,7,17,18.8,17.5,20.2,,1.4,
1979,7,18,19.4,17.3,22.1,,11.0,
1979,7,19,19.6,17.0,22.9,,9.4,
1979,7,20,20.2,18.5,22.6,,2.4,
1979,7,21,20.7,19.3,21.8,30.6,0.0,
1979,7,22,21.2,20.3,23.3,9.2,0.0,
1979,7,23,24.2,21.7,26.5,,7.7,
1979,7,24,23.2,20.6,25.9,,9.7,
1979,7,25,21.0,19.9,24.1,,1.0,
1979,7,26,21.8,19.9,23.5,,0.0,
1979,7,27,24.4,22.1,27.6,0.0,4.1,
1979,7,28,25.8,24.2,29.5,0.0,4.3,
1979,7,29,26.6,24.2,29.6,,10.3,
1979,7,30,26.6,24.2,30.0,,12.7,
1979,7,31,28.1,25.0,31.1,,11.0,
