year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1973,9,1,24.6,23.4,28.5,9.0,3.7,
1973,9,2,21.6,18.5,27.2,36.0,4.1,
1973,9,3,22.9,18.4,28.7,0.5,10.4,
1973,9,4,21.9,17.0,27.9,,9.8,
1973,9,5,23.1,18.7,28.0,,8.8,
1973,9,6,21.3,17.1,25.3,,7.5,
1973,9,7,20.4,14.9,28.9,,9.2,
1973,9,8,20.3,15.3,26.1,0.0,6.3,
1973,9,9,17.8,16.5,20.4,91.4,0.0,
1973,9,10,21.5,17.9,25.0,2.2,6.8,
1973,9,11,20.5,16.3,25.5,16.6,9.9,
1973,9,12,19.1,12.9,26.7,,7.8,
1973,9,13,20.3,16.7,25.7,,7.6,
1973,9,14,19.0,14.2,25.8,,8.0,
1973,9,15,18.9,14.0,26.3,,9.1,
1973,9,16,19.9,13.2,28.4,,9.0,
1973,9,17,20.8,15.7,27.3,,7.9,
1973,9,18,20.3,17.2,25.3,,5.9,
1973,9,19,19.9,17.3,23.7,2.0,0.9,
1973,9,20,20.2,17.2,25.1,,3.4,
1973,9,21,19.7,15.5,26.1,2.0,,
1973,9,22,19.8,16.4,26.3,2.3,7.1,
1973,9,23,18.8,14.3,27.3,,2.8,
1973,9,24,19.5,12.3,27.6,,0.6,
1973,9,25,19.0,13.8,25.6,,3.0,
1973,9,26,16.9,14.6,20.4,,10.9,
1973,9,27,16.2,10.2,22.6,,10.8,
1973,9,28,14.1,5.1,23.8,,8.6,
1973,9,29,16.1,13.3,19.4,2.5,0.5,
1973,9,30,18.6,15.0,24.3,,9.8,
