year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2022,8,1,28.6,25.8,32.8,0.0,2.4,
2022,8,2,28.2,25.8,31.0,0.2,1.5,
2022,8,3,29.8,25.8,36.2,,8.8,
2022,8,4,30.0,25.9,35.2,,9.7,
2022,8,5,30.2,24.6,35.1,0.0,8.9,
2022,8,6,30.9,25.4,36.7,0.0,10.1,
2022,8,7,31.0,25.9,37.2,,9.1,
2022,8,8,29.8,26.2,33.8,,1.8,
2022,8,9,28.9,26.1,31.1,,0.0,
2022,8,10,28.3,26.3,30.8,0.0,0.0,
2022,8,11,26.9,25.4,29.4,0.0,0.0,
2022,8,12,29.0,24.7,36.6,0.4,8.9,
2022,8,13,27.1,23.4,35.3,1.2,2.1,
2022,8,14,29.8,24.4,36.1,0.0,6.2,
2022,8,15,30.9,26.2,35.4,0.0,4.9,
2022,8,16,25.9,23.4,30.2,24.5,0.0,
2022,8,17,24.9,22.6,27.6,2.9,0.8,
2022,8,18,25.4,21.7,32.0,,7.1,
2022,8,19,27.4,20.3,33.6,,6.5,
2022,8,20,25.7,23.0,29.1,10.3,0.3,
2022,8,21,24.6,19.5,29.6,,9.8,
2022,8,22,25.1,17.5,33.1,,9.4,
2022,8,23,24.6,21.2,28.9,6.4,0.0,
2022,8,24,21.5,20.1,23.3,10.3,0.0,
2022,8,25,24.6,18.4,30.9,0.0,5.9,
2022,8,26,23.9,19.0,31.0,0.0,8.7,
2022,8,27,21.8,16.1,28.9,,5.4,
2022,8,28,20.1,14.5,27.0,,10.7,
2022,8,29,21.1,16.2,27.1,0.1,1.2,
2022,8,30,20.7,19.2,23.9,35.0,0.0,
2022,8,31,20.7,19.8,21.6,23.4,0.0,
