year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1984,7,1,24.9,19.0,30.2,,7.5,
1984,7,2,25.9,23.8,30.1,0.0,2.3,
1984,7,3,24.9,24.0,26.9,4.6,0.1,
1984,7,4,22.3,19.6,24.2,54.9,0.1,
1984,7,5,23.1,18.8,28.2,0.0,1.9,
1984,7,6,24.0,21.5,28.0,4.5,1.9,
1984,7,7,23.2,21.4,26.3,15.3,0.4,
1984,7,8,23.1,22.2,24.7,26.6,0.0,
1984,7,9,23.7,22.4,26.0,1.6,0.0,
1984,7,10,23.8,21.5,27.5,109.0,0.5,
1984,7,11,23.1,22.2,23.7,0.7,0.0,
1984,7,12,23.1,21.9,24.0,57.2,0.0,
1984,7,13,23.0,21.0,25.6,0.0,2.4,
1984,7,14,24.3,21.5,28.1,,8.5,
1984,7,15,26.3,21.5,30.8,,3.4,
1984,7,16,23.4,18.3,26.3,0.5,6.7,
1984,7,17,22.5,17.0,28.1,,11.3,
1984,7,18,23.7,17.2,30.2,,12.0,
1984,7,19,23.9,20.5,27.8,,3.7,
1984,7,20,24.6,19.3,28.6,,7.4,
1984,7,21,25.6,20.3,30.1,,7.8,
1984,7,22,24.8,23.2,26.3,0.5,0.0,
1984,7,23,24.6,22.1,27.9,0.0,1.9,
1984,7,24,24.1,20.8,28.6,,5.9,
1984,7,25,24.9,21.3,30.3,0.0,10.6,
1984,7,26,25.2,19.2,31.6,,5.6,
1984,7,27,27.8,23.1,33.2,,10.7,
1984,7,28,27.6,24.2,31.4,,3.8,
1984,7,29,27.7,25.2,33.5,3.2,4.4,
1984,7,30,29.9,24.6,34.0,,11.9,
1984,7,31,29.4,24.5,34.9,0.4,9.2,
