year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2015,11,1,5.3,-1.9,14.2,,4.5,
2015,11,2,8.8,4.3,15.9,,3.4,
2015,11,3,9.5,3.0,17.9,,8.1,
2015,11,4,9.9,1.8,19.5,,7.4,
2015,11,5,11.0,5.4,19.3,0.0,6.1,
2015,11,6,12.4,7.2,20.4,7.7,6.0,
2015,11,7,10.0,8.6,11.0,19.5,0.0,
2015,11,8,10.6,9.4,12.4,17.9,0.0,
2015,11,9,10.6,9.2,12.7,5.1,0.0,
2015,11,10,9.4,6.0,15.3,,3.2,
2015,11,11,10.1,4.7,18.1,,6.2,
2015,11,12,13.0,7.5,21.1,,7.1,
2015,11,13,10.6,9.0,13.7,16.0,0.0,
2015,11,14,12.6,10.3,15.3,3.6,0.0,
2015,11,15,13.2,9.4,18.0,,3.8,
2015,11,16,11.5,9.2,15.7,6.3,0.0,
2015,11,17,12.8,9.3,19.4,,8.7,
2015,11,18,9.7,6.5,12.8,7.6,0.0,
2015,11,19,8.2,4.0,11.1,,0.0,
2015,11,20,9.1,5.5,14.4,,4.2,
2015,11,21,7.9,2.8,15.6,,8.2,
2015,11,22,8.0,3.4,13.3,2.4,0.7,
2015,11,23,7.3,5.4,11.5,10.6,0.7,
2015,11,24,5.8,2.1,9.7,1.3,0.5,
2015,11,25,2.0,0.4,3.8,12.3,0.0,
2015,11,26,-2.9,-5.6,0.4,,0.5,
2015,11,27,-3.4,-8.1,2.8,,6.2,
2015,11,28,-0.4,-3.7,2.6,0.2,0.0,
2015,11,29,2.2,-0.3,4.1,4.1,0.0,
2015,11,30,3.8,-1.5,9.8,0.0,7.2,
