year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,10,1,16.6,14.1,18.2,10.5,0.0,
1999,10,2,14.0,8.1,18.2,17.5,0.0,
1999,10,3,11.2,7.1,19.3,,7.6,
1999,10,4,12.1,7.5,19.9,,6.2,
1999,10,5,13.8,10.0,21.1,,6.9,
1999,10,6,13.3,9.3,18.0,,0.7,
1999,10,7,15.6,13.5,19.3,0.2,0.0,
1999,10,8,15.6,11.6,22.6,,6.2,
1999,10,9,15.8,10.7,24.0,,7.5,
1999,10,10,15.1,13.1,18.5,9.0,0.0,
1999,10,11,16.0,12.4,21.4,9.0,4.3,
1999,10,12,16.2,12.5,23.0,,2.3,
1999,10,13,15.3,11.1,20.6,,0.0,
1999,10,14,14.1,11.6,18.8,,3.2,
1999,10,15,14.7,6.5,20.5,,6.7,
1999,10,16,4.9,-0.8,10.0,,7.9,
1999,10,17,5.3,-2.1,12.1,,3.8,
1999,10,18,8.9,4.3,18.4,,7.6,
1999,10,19,8.5,2.9,19.4,,7.3,
1999,10,20,10.4,4.3,18.7,,6.8,
1999,10,21,11.8,8.1,19.2,,6.0,
1999,10,22,13.0,7.6,19.8,,7.1,
1999,10,23,11.3,5.3,17.6,,4.6,
1999,10,24,9.9,4.5,21.9,,6.8,
1999,10,25,10.5,3.3,21.9,,7.6,
1999,10,26,11.0,5.8,18.4,,2.1,
1999,10,27,13.1,8.0,22.9,,6.9,
1999,10,28,12.7,7.8,18.7,25.5,3.5,
1999,10,29,8.6,1.8,12.8,,6.9,
1999,10,30,4.9,-2.1,12.3,,7.8,
1999,10,31,4.5,0.3,9.0,14.0,0.0,
