year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1974,1,1,0.3,-6.8,7.9,,8.5,
1974,1,2,0.9,-4.4,9.3,,8.4,
1974,1,3,1.2,-4.2,8.9,,7.8,
1974,1,4,0.2,-4.1,5.8,,5.7,
1974,1,5,-2.1,-5.8,1.6,,8.1,
1974,1,6,-2.8,-8.0,4.0,,8.1,
1974,1,7,-2.6,-8.2,4.6,,8.1,
1974,1,8,-0.6,-6.2,6.8,,6.5,
1974,1,9,-0.9,-5.6,5.2,,6.3,
1974,1,10,-1.0,-6.9,5.6,,8.1,
1974,1,11,-1.9,-8.0,5.0,,5.9,
1974,1,12,-2.4,-8.4,4.0,,8.6,
1974,1,13,-3.4,-9.8,4.4,,8.7,
1974,1,14,-2.1,-9.0,5.7,,8.0,
1974,1,15,-1.9,-5.9,2.7,,7.4,
1974,1,16,-6.3,-10.7,-2.0,,9.0,
1974,1,17,-4.8,-9.1,1.5,,7.9,
1974,1,18,-5.1,-10.7,1.6,,9.1,
1974,1,19,-4.0,-9.9,4.1,0.0,7.4,
1974,1,20,-1.7,-6.5,5.0,1.3,4.4,1.2
1974,1,21,-0.4,-4.7,1.5,16.0,0.5,15.4
1974,1,22,-3.0,-10.9,4.8,,6.2,
1974,1,23,-10.4,-14.4,-5.1,,8.9,
1974,1,24,-13.7,-21.4,-5.1,,9.1,
1974,1,25,-11.0,-18.3,-0.2,,9.3,
1974,1,26,-10.5,-18.3,-0.2,,8.8,
1974,1,27,-6.6,-10.1,-2.8,1.6,8.2,2.4
1974,1,28,-9.2,-19.3,-4.4,,8.5,
1974,1,29,-8.6,-17.5,0.1,,8.4,
1974,1,30,-5.9,-13.9,1.6,,8.4,
1974,1,31,-5.9,-12.6,1.4,,8.8,
