year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2001,6,1,21.0,12.8,28.7,,13.3,
2001,6,2,20.3,14.1,26.8,,13.6,
2001,6,3,26.9,13.5,33.4,,12.7,
2001,6,4,25.8,21.7,32.5,,12.2,
2001,6,5,21.3,17.0,28.0,0.0,7.1,
2001,6,6,18.7,15.8,25.6,,10.9,
2001,6,7,18.2,16.1,22.0,,7.6,
2001,6,8,19.3,16.3,24.6,,10.4,
2001,6,9,19.1,15.1,24.0,,11.9,
2001,6,10,19.3,15.0,25.0,1.5,10.7,
2001,6,11,17.9,14.3,22.6,,11.9,
2001,6,12,18.1,13.3,23.5,0.0,9.8,
2001,6,13,16.6,15.1,20.3,9.0,3.4,
2001,6,14,17.0,15.1,19.7,5.5,7.0,
2001,6,15,17.4,13.0,21.6,,11.0,
2001,6,16,17.5,12.3,22.8,,10.4,
2001,6,17,20.2,16.0,25.6,,11.4,
2001,6,18,19.5,18.2,20.7,32.5,0.7,
2001,6,19,19.0,17.6,22.3,9.0,3.0,
2001,6,20,18.8,15.8,22.0,0.0,10.5,
2001,6,21,18.3,17.1,21.3,0.0,8.0,
2001,6,22,19.1,15.1,23.5,,10.6,
2001,6,23,21.6,18.5,26.6,0.5,7.2,
2001,6,24,19.8,18.8,21.0,31.0,1.7,
2001,6,25,23.1,18.8,26.7,47.0,10.0,
2001,6,26,23.9,21.1,28.1,1.0,8.4,
2001,6,27,24.7,21.7,28.2,,11.9,
2001,6,28,25.1,21.3,31.1,,11.6,
2001,6,29,23.7,20.7,26.2,32.0,4.6,
2001,6,30,22.7,17.7,29.5,13.5,7.5,
