stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
261,해남,2013-01-22,4.6,3.8,2352,5.8,1400,,,,,,0.5,8.8,340,0253,4.4,290,0335,2.1,1782,290,2.5,76,1439,87.1,7.3,1019.4,1023.1,1029,1017.7,0001,1021.0,10.3,0.0,,,,,,,,,,,5.6,2.0,,,,,,,,,,,,,,
261,해남,2013-01-23,3.1,-1.2,2400,5.1,1523,,,,,,1.0,5.7,340,1723,3.1,320,1725,1.4,1168,290,1.5,74,1652,89.8,6.8,1018.3,1021.8,0008,1018.6,1600,1020.0,10.3,0.0,,,,,,,,,,,5.1,-6.1,,,,,,,,,,,,,,
261,해남,2013-01-24,1.4,-3.4,0409,6.5,1235,,,,,,0.0,9.9,340,2352,4.2,290,1723,1.6,1404,290,-1.4,54,2257,83.0,5.6,1016.9,1021.3,2354,1016.5,1521,1018.5,10.3,0.0,,,,,,,,,,,2.0,-7.6,,,,,,,,,,,,,,
261,해남,2013-01-25,-0.8,-2.6,2037,1.8,1258,,,,,,,11.0,320,1153,5.7,320,1157,2.6,2244,320,-7.2,46,1431,62.3,3.6,1020.7,1024.0,1059,1021.0,0031,1022.4,10.3,7.8,,,,,,,,,,,1.6,-5.7,,,,,,,,,,,,,,
261,해남,2013-01-26,-1.8,-3.0,0901,1.3,1412,,,,,,,11.0,320,1423,4.9,320,1428,2.2,1909,290,-7.3,48,1435,66.8,3.6,1021.9,1026.3,2352,1021.0,0448,1023.6,10.4,5.3,,,,,,,,,,,1.8,-5.2,,,,,,,,,,,,,,
261,해남,2013-01-27,-0.3,-1.3,0001,2.3,1217,,,,,,,12.1,320,1502,5.6,320,1307,2.8,2444,290,-5.7,49,1055,67.0,4.0,1024.5,1027.6,2357,1024.9,1420,1026.2,10.4,3.1,,,,,,,,,,,1.5,-4.4,,,,,,,,,,,,,,
261,해남,2013-01-28,0.2,-6.0,0751,6.7,1407,,,,,,,7.2,340,1444,4.3,340,1453,1.4,1208,320,-4.4,47,1333,73.4,4.4,1025.9,1029.3,1015,1026.4,1653,1027.5,10.4,8.9,,,,,,,,,,,2.3,-9.4,,,,,,,,,,,,,,
261,해남,2013-01-29,2.8,-4.8,0444,11.2,1423,,,,,,,5.5,270,1314,3.7,250,1301,1.0,877,90,-0.4,50,1443,82.1,6.0,1025.4,1028.2,2355,1025.7,1627,1027.0,10.4,4.9,,,,,,,,,,,3.4,-8.2,,,,,,,,,,,,,,
261,해남,2013-01-30,5.9,-3.2,0719,15.5,1411,,,,,,,5.1,140,1739,4.1,160,1748,1.4,1175,50,1.4,40,1249,76.0,6.8,1027.8,1030.8,2056,1027.8,1424,1029.4,10.5,8.2,,,,,,,,,,,5.0,-6.6,,,,,,,,,,,,,,
261,해남,2013-01-31,10.3,7.1,0326,13.7,1151,,,,,,2.5,10.2,140,1531,6.9,110,1534,3.9,3342,110,4.5,51,1152,68.3,8.5,1026.4,1030.8,0820,1024.5,2351,1028.0,10.5,1.2,,,,,,,,,,,7.7,5.0,,,,,,,,,,,,,,
261,해남,2013-02-01,11.7,6.3,2357,16.5,1154,,,,,,23.0,13.1,230,1233,7.9,250,1240,3.8,3259,110,10.8,84,1053,95.0,13.2,1017.7,1024.5,0001,1015.4,1317,1019.3,10.5,0.0,,,,,,,,,,,10.4,5.6,,,,,,,,,,,,,,
261,해남,2013-02-02,3.0,-1.5,2309,6.6,1322,,,,,,,9.5,340,1412,4.1,320,1109,2.5,2117,320,-3.4,35,1428,64.1,4.9,1025.8,1030.0,2210,1022.5,0001,1027.4,10.6,8.4,,,,,,,,,,,6.4,-5.8,,,,,,,,,,,,,,
261,해남,2013-02-03,2.5,-4.7,0531,7.3,1349,,,,,,5.5,7.5,110,1851,5.8,110,1853,2.3,2008,110,-2.0,41,1241,74.3,5.5,1021.6,1030.1,0021,1014.2,2325,1023.2,10.6,0.0,,,,,,,,,,,4.1,-8.1,,,,,,,,,,,,,,
261,해남,2013-02-04,5.2,0.5,2306,11.0,0533,,,,,,2.0,9.9,340,1420,5.1,340,0743,2.7,2328,360,2.4,60,1701,83.3,7.6,1017.6,1025.6,2150,1012.0,0513,1019.2,10.6,3.5,,,,,,,,,,,7.2,-1.8,,,,,,,,,,,,,,
261,해남,2013-02-05,2.9,-0.9,0448,6.0,1132,,,,,,6.0,7.3,340,2337,5.3,340,2341,1.8,1529,70,1.7,69,1107,92.0,7.0,1017.7,1024.9,0013,1015.8,1755,1019.3,10.6,0.0,,,,,,,,,,,4.5,-3.0,,,,,,,,,,,,,,
261,해남,2013-02-06,2.2,1.6,2139,4.0,1327,,,,,,2.5,9.6,340,1503,5.1,340,0032,2.6,2226,320,-0.6,61,2311,82.0,5.9,1018.1,1021.8,2305,1016.6,0003,1019.7,10.7,0.3,,,,,,,,,,,4.8,-0.4,,,,,,,,,,,,,,
261,해남,2013-02-07,-3.3,-6.5,2052,2.6,0415,,,,,,0.1,11.2,360,1834,5.6,20,1844,3.3,2815,20,-8.4,51,1715,67.9,3.4,1023.5,1029.7,2332,1020.7,0135,1025.2,10.7,1.3,,,,,,,,,,,1.5,-7.4,,,,,,,,,,,,,,
261,해남,2013-02-08,-5.3,-7.1,0817,-2.1,1425,,,,,,,8.3,50,0255,4.6,20,1010,2.5,2164,20,-11.1,42,1346,64.3,2.7,1028.9,1032.3,0903,1029.1,0457,1030.6,10.7,6.7,,,,,,,,,,,0.9,-9.4,,,,,,,,,,,,,,
261,해남,2013-02-09,-3.0,-8.0,0338,1.9,1541,,,,,,,9.6,360,1617,4.6,290,1501,2.0,1745,290,-8.0,47,1450,69.4,3.4,1026.4,1031.0,0001,1025.5,1538,1028.1,10.8,8.6,,,,,,,,,,,1.0,-10.7,,,,,,,,,,,,,,
261,해남,2013-02-10,0.4,-5.7,0702,6.7,1520,,,,,,,7.5,340,1555,4.1,290,1508,1.8,1572,320,-4.6,49,1250,70.9,4.4,1025.4,1028.7,2330,1025.5,1532,1027.1,10.8,7.0,,,,,,,,,,,2.2,-9.6,,,,,,,,,,,,,,
261,해남,2013-02-11,-1.1,-3.9,2303,3.2,1517,,,,,,,7.7,320,0924,4.4,320,1548,2.2,1940,360,-7.4,35,1259,64.0,3.5,1028.3,1031.9,1029,1028.6,0002,1030.0,10.8,9.6,,,,,,,,,,,2.2,-7.3,,,,,,,,,,,,,,
261,해남,2013-02-12,-0.8,-4.9,0431,2.4,1507,,,,,,0.5,8.2,340,1601,3.7,320,1617,1.5,1296,320,-3.5,58,1610,82.3,4.7,1023.9,1029.1,0006,1023.0,1600,1025.6,10.9,0.9,,,,,,,,,,,1.3,-8.4,,,,,,,,,,,,,,
261,해남,2013-02-13,1.0,-5.8,0710,6.2,1433,,,,,,,6.7,360,1902,4.3,340,1907,1.8,1572,340,-4.8,39,1445,67.5,4.3,1025.9,1029.8,0921,1026.1,1544,1027.6,10.9,9.5,,,,,,,,,,,3.0,-9.9,,,,,,,,,,,,,,
261,해남,2013-02-14,2.9,-2.2,0800,7.9,1243,,,,,,,5.9,320,1354,3.1,320,1558,1.4,1174,290,-2.8,34,1502,68.4,5.0,1022.1,1027.5,0011,1020.9,2310,1023.7,10.9,4.3,,,,,,,,,,,4.4,-4.1,,,,,,,,,,,,,,
261,해남,2013-02-15,2.7,-1.7,2358,7.2,1204,,,,,,,10.3,320,1440,5.0,290,1354,2.8,2442,20,-6.3,27,1630,53.1,4.0,1021.9,1026.7,2358,1020.7,0448,1023.5,11.0,8.6,,,,,,,,,,,5.1,-6.2,,,,,,,,,,,,,,
261,해남,2013-02-16,0.2,-4.1,0731,6.4,1535,,,,,,,8.7,340,1230,3.9,290,1237,2.0,1741,360,-7.6,33,1612,57.8,3.5,1025.5,1029.9,1051,1025.1,2321,1027.2,11.0,9.9,,,,,,,,,,,3.4,-8.3,,,,,,,,,,,,,,
261,해남,2013-02-17,4.2,-3.7,0124,7.0,1341,,,,,,10.5,6.1,140,1253,4.5,140,1349,2.2,1943,90,0.3,51,0507,77.1,6.5,1017.8,1025.3,0002,1013.5,2354,1019.4,11.0,0.0,,,,,,,,,,,3.0,-7.5,,,,,,,,,,,,,,
261,해남,2013-02-18,3.9,1.5,2327,6.4,0019,,,,,,1.5,8.0,340,0441,4.7,360,0443,2.5,2203,340,-0.9,50,1949,72.8,6.0,1015.4,1021.1,2329,1012.6,0431,1017.0,11.1,0.0,,,,,,,,,,,5.0,0.5,,,,,,,,,,,,,,
261,해남,2013-02-19,0.8,-1.7,2330,4.8,1452,,,,,,,10.7,340,1635,6.0,340,0137,3.5,3044,20,-11.8,22,1408,39.8,2.5,1022.8,1028.2,2331,1020.6,0001,1024.4,11.1,6.6,,,,,,,,,,,3.5,-5.1,,,,,,,,,,,,,,
261,해남,2013-02-20,-0.2,-4.6,2352,5.6,1532,,,,,,,8.2,20,1305,4.4,20,1012,2.2,1901,20,-10.5,17,1451,49.5,2.8,1027.5,1030.7,0916,1027.6,1409,1029.2,11.1,10.0,,,,,,,,,,,2.8,-7.9,,,,,,,,,,,,,,
261,해남,2013-02-21,0.6,-5.3,0521,6.9,1254,,,,,,,8.4,320,1440,4.8,320,1407,1.6,1343,320,-7.8,21,1606,57.5,3.5,1028.3,1032.0,0930,1028.1,1647,1029.9,11.2,9.3,,,,,,,,,,,3.3,-8.0,,,,,,,,,,,,,,
261,해남,2013-02-22,2.7,-3.9,0736,9.4,1222,,,,,,,7.0,250,2038,4.2,270,1522,1.7,1487,320,-1.9,33,0958,73.4,5.4,1026.2,1029.3,0028,1025.7,1559,1027.9,11.2,5.6,,,,,,,,,,,3.7,-6.7,,,,,,,,,,,,,,
261,해남,2013-02-23,0.9,-3.6,2319,6.3,1331,,,,,,,9.6,320,1557,5.1,320,1247,2.3,2021,320,-8.3,26,1429,52.6,3.3,1028.2,1031.2,2321,1027.8,1438,1029.8,11.2,10.6,,,,,,,,,,,3.7,-8.5,,,,,,,,,,,,,,
261,해남,2013-02-24,2.1,-5.9,0510,10.4,1345,,,,,,,5.6,320,1641,3.8,340,1530,1.3,1119,290,-5.5,24,1350,63.1,4.1,1028.4,1032.8,0916,1028.0,1612,1030.0,11.3,7.9,,,,,,,,,,,4.3,-9.3,,,,,,,,,,,,,,
261,해남,2013-02-25,5.4,-5.3,0655,14.8,1331,,,,,,,4.7,250,1452,3.7,250,1435,1.1,931,90,-3.2,17,1315,59.4,4.9,1026.0,1029.8,0900,1025.3,1705,1027.7,11.3,7.9,,,,,,,,,,,6.1,-9.3,,,,,,,,,,,,,,
261,해남,2013-02-26,6.5,0.9,2335,10.1,1323,,,,,,0.5,6.7,90,1307,4.9,90,1254,2.5,2121,90,3.3,50,0040,81.0,7.8,1018.0,1025.5,0001,1016.4,1911,1019.6,11.3,0.0,,,,,,,,,,,6.6,-2.0,,,,,,,,,,,,,,
261,해남,2013-02-27,6.6,0.5,0035,13.7,1436,,,,,,,8.3,340,0517,5.4,320,0526,2.6,2223,320,2.5,43,1436,77.8,7.4,1016.9,1020.4,2240,1017.1,0001,1018.5,11.4,7.7,,,,,,,,,,,9.4,-2.2,,,,,,,,,,,,,,
261,해남,2013-02-28,8.6,-3.5,0653,17.3,1312,,,,,,,7.8,110,1735,5.7,140,1454,2.7,2312,110,2.6,26,1009,71.6,7.6,1014.8,1020.6,0203,1012.5,2007,1016.4,11.4,8.1,,,,,,,,,,,9.1,-6.7,,,,,,,,,,,,,,
261,해남,2013-03-01,4.2,0.1,2151,15.0,0058,,,,,,10.5,14.3,340,1626,5.3,290,1050,3.6,3105,20,-0.2,58,1521,74.1,6.7,1015.8,1024.6,2350,1010.3,0422,1017.5,11.4,1.7,,,,,,,,,,,7.8,-1.8,,,,,,,,,,,,,,
261,해남,2013-03-02,1.2,-0.5,2400,4.7,1425,,,,,,,11.0,360,1248,5.3,320,1332,3.1,2663,20,-5.6,50,1426,60.8,4.1,1025.6,1029.6,0938,1024.3,0005,1027.3,11.5,7.9,,,,,,,,,,,5.8,-2.9,,,,,,,,,,,,,,
261,해남,2013-03-03,1.4,-4.2,0643,6.9,1233,,,,,,,9.3,320,1334,5.0,290,1446,2.3,2017,320,-3.9,44,1234,69.1,4.6,1022.6,1027.8,0005,1021.6,1547,1024.3,11.5,10.0,,,,,,,,,,,5.1,-7.9,,,,,,,,,,,,,,
261,해남,2013-03-04,3.5,-5.1,0416,13.1,1409,,,,,,,7.5,320,1456,4.5,320,1504,1.8,1577,290,-1.0,31,1534,77.0,5.8,1020.5,1026.1,2346,1019.6,1356,1022.1,11.6,6.7,,,,,,,,,,,5.9,-8.4,,,,,,,,,,,,,,
261,해남,2013-03-05,2.9,-4.5,0714,14.0,1603,,,,,,,5.8,320,1241,4.4,250,1658,1.5,1268,250,-2.3,22,1446,75.9,5.2,1024.3,1028.6,0905,1023.7,1915,1025.9,11.6,9.6,,,,,,,,,,,6.9,-8.3,,,,,,,,,,,,,,
261,해남,2013-03-06,8.4,-4.3,0151,17.5,1325,,,,,,,7.1,180,2345,4.5,230,2131,2.1,1818,230,1.6,27,1121,67.5,7.1,1020.4,1025.3,0004,1018.5,2358,1022.0,11.6,9.5,,,,,,,,,,,8.7,-8.7,,,,,,,,,,,,,,
261,해남,2013-03-07,11.2,4.5,2352,16.4,1428,,,,,,,10.9,250,0927,6.5,250,0942,3.1,2661,230,5.2,27,0300,70.8,9.2,1012.4,1018.6,0001,1011.7,1557,1014.0,11.7,4.0,,,,,,,,,,,11.5,1.6,,,,,,,,,,,,,,
261,해남,2013-03-08,9.2,0.4,0706,19.4,1315,,,,,,,8.5,250,1153,5.3,230,1034,2.0,1720,70,4.9,39,1316,79.6,8.8,1009.5,1014.1,0002,1008.4,1454,1011.1,11.7,6.8,,,,,,,,,,,12.2,-1.6,,,,,,,,,,,,,,
261,해남,2013-03-09,12.3,-1.1,0430,24.2,1216,,,,,,,9.7,230,1447,6.7,230,1409,2.5,2182,230,4.7,22,1222,67.8,8.8,1008.5,1013.3,0003,1007.4,1644,1010.1,11.7,9.6,,,,,,,,,,,12.5,-3.6,,,,,,,,,,,,,,
261,해남,2013-03-10,4.3,0.5,2335,13.8,0001,,,,,,,12.1,340,0223,7.5,320,1656,4.4,3842,320,-3.8,42,1302,56.3,4.6,1018.2,1025.3,2354,1010.3,0001,1019.8,11.8,9.4,,,,,,,,,,,9.2,-3.1,,,,,,,,,,,,,,
261,해남,2013-03-11,5.5,-5.1,0659,15.7,1509,,,,,,,9.5,320,0051,4.6,340,0051,1.8,1536,160,-2.0,29,1059,62.5,5.4,1022.1,1025.5,0016,1022.0,1535,1023.7,11.8,10.6,,,,,,,,,,,9.4,-8.6,,,,,,,,,,,,,,
261,해남,2013-03-12,10.7,-1.3,0618,17.6,2357,,,,,,,8.5,250,2400,5.6,140,1353,2.5,2122,140,5.2,46,1237,71.8,9.2,1014.0,1022.7,0001,1009.0,2359,1015.6,11.8,9.6,,,,,,,,,,,11.3,-5.2,,,,,,,,,,,,,,
261,해남,2013-03-13,5.9,1.8,2339,17.6,0001,,,,,,16.5,12.6,320,1830,6.7,250,0235,3.7,3155,320,3.2,63,0001,83.1,8.1,1013.2,1023.1,2257,1007.5,0456,1014.8,11.9,0.1,,,,,,,,,,,9.4,0.2,,,,,,,,,,,,,,
261,해남,2013-03-14,5.1,-0.3,2358,12.8,1451,,,,,,,7.2,20,0008,3.7,250,1658,1.7,1487,320,-0.9,47,1526,66.9,5.8,1025.2,1028.6,2107,1023.0,0001,1026.8,11.9,6.5,,,,,,,,,,,10.0,-4.4,,,,,,,,,,,,,,
261,해남,2013-03-15,4.8,-1.4,0627,13.2,1420,,,,,,,6.0,270,1624,4.6,250,1631,1.4,1224,250,0.8,26,1555,78.9,6.5,1024.4,1028.2,0135,1023.9,1550,1026.0,11.9,7.5,,,,,,,,,,,10.1,-4.8,,,,,,,,,,,,,,
261,해남,2013-03-16,5.9,-1.0,0643,15.8,1428,,,,,,,6.1,340,1221,4.0,320,1546,1.4,1226,320,-0.6,15,1106,71.8,6.0,1022.1,1025.8,0856,1022.3,1515,1023.7,12.0,8.5,,,,,,,,,,,9.9,-4.0,,,,,,,,,,,,,,
261,해남,2013-03-17,8.7,-0.7,0523,15.9,2250,,,,,,62.5,9.8,230,2310,6.6,230,2337,2.2,1906,110,6.7,47,1029,88.9,10.3,1011.7,1022.8,0002,1002.4,2357,1013.3,12.0,0.4,,,,,,,,,,,9.3,-3.7,,,,,,,,,,,,,,
261,해남,2013-03-18,9.5,6.7,1914,14.5,0001,,,,,,13.0,9.2,230,0042,6.6,230,0024,2.6,2241,290,8.0,74,1644,91.3,10.8,1004.3,1011.1,2348,1001.2,0335,1005.9,12.1,1.0,,,,,,,,,,,12.2,3.4,,,,,,,,,,,,,,
261,해남,2013-03-19,13.0,5.4,0704,20.0,1313,,,,,,,7.6,230,1846,4.4,230,1854,1.9,1612,230,8.7,37,1315,78.3,11.4,1010.5,1014.1,1018,1010.6,1535,1012.1,12.1,4.7,,,,,,,,,,,14.2,2.4,,,,,,,,,,,,,,
261,해남,2013-03-20,6.5,0.0,2148,13.4,0059,,,,,,,12.2,360,2136,5.5,320,1050,2.3,2015,20,2.1,54,1727,74.6,8.0,1011.7,1021.5,2349,1007.7,0534,1013.4,12.1,3.7,,,,,,,,,,,11.3,-2.1,,,,,,,,,,,,,,
261,해남,2013-03-21,2.9,-1.7,0648,9.4,1530,,,,,,,7.5,50,0006,3.6,290,1304,2.1,1811,290,-5.2,29,1222,58.5,4.3,1016.8,1021.4,0002,1015.4,2335,1018.4,12.2,11.2,,,,,,,,,,,7.9,-4.8,,,,,,,,,,,,,,
261,해남,2013-03-22,5.5,-1.9,0516,11.7,1511,,,,,,,8.3,320,1723,4.7,320,1928,1.9,1669,320,1.5,57,1454,77.0,6.9,1011.7,1016.8,2208,1010.4,1351,1013.3,12.2,2.5,,,,,,,,,,,8.4,-5.2,,,,,,,,,,,,,,
261,해남,2013-03-23,7.7,1.4,0527,16.6,1411,,,,,,,6.6,360,0135,4.5,250,1432,1.8,1519,290,0.6,25,1415,64.9,6.4,1013.4,1018.8,0705,1012.4,1732,1014.9,12.2,9.3,,,,,,,,,,,11.4,-0.8,,,,,,,,,,,,,,
261,해남,2013-03-24,5.4,1.4,0648,10.7,1124,,,,,,,10.4,320,1508,5.4,320,1410,2.3,1995,320,0.4,42,1110,72.1,6.3,1011.8,1015.0,2346,1011.3,1541,1013.4,12.3,4.4,,,,,,,,,,,9.4,-1.7,,,,,,,,,,,,,,
261,해남,2013-03-25,3.8,1.4,0524,7.4,1331,,,,,,,11.9,360,1436,5.7,340,2320,3.0,2621,320,-4.5,30,1547,55.6,4.4,1017.3,1022.2,2244,1014.9,0001,1018.9,12.3,10.3,,,,,,,,,,,8.8,-2.2,,,,,,,,,,,,,,
261,해남,2013-03-26,6.6,-1.9,0609,14.6,1424,,,,,,,5.6,320,0118,4.4,140,1449,1.7,1429,290,-1.0,29,1106,60.5,5.9,1019.1,1023.6,0859,1018.4,1654,1020.7,12.3,7.1,,,,,,,,,,,10.4,-5.6,,,,,,,,,,,,,,
261,해남,2013-03-27,9.7,2.9,2349,17.8,1441,,,,,,0.0,6.5,270,1543,4.7,250,1552,1.5,1322,270,2.8,27,1517,67.1,7.5,1014.5,1019.2,0001,1013.6,1652,1016.1,12.4,9.9,,,,,,,,,,,14.1,-1.5,,,,,,,,,,,,,,
261,해남,2013-03-28,8.4,-1.2,0621,17.7,1421,,,,,,,8.1,320,2116,4.7,340,1728,2.1,1813,320,0.7,21,1139,65.0,6.6,1014.7,1018.2,2251,1013.4,1529,1016.3,12.4,9.6,,,,,,,,,,,12.7,-5.2,,,,,,,,,,,,,,
