year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,2,1,-2.0,-6.7,2.9,,9.5,
2018,2,2,-2.3,-7.9,3.8,,9.3,
2018,2,3,-5.4,-8.6,-2.3,0.0,9.3,0.5
2018,2,4,-7.9,-10.3,-4.9,,9.8,
2018,2,5,-8.0,-11.1,-4.5,,9.5,
2018,2,6,-8.7,-11.6,-5.1,0.0,9.8,0.3
2018,2,7,-7.6,-13.9,-2.1,,9.8,
2018,2,8,-3.8,-10.8,3.3,,9.5,
2018,2,9,0.9,-6.1,7.7,,4.9,
2018,2,10,-0.1,-5.5,5.3,,6.1,
2018,2,11,-5.1,-7.7,-0.8,1.6,6.7,5.6
2018,2,12,-5.9,-10.2,-3.0,0.0,6.2,0.5
2018,2,13,-1.3,-7.1,3.7,0.2,9.7,1.6
2018,2,14,4.2,-2.2,10.5,,6.3,
2018,2,15,0.2,-2.4,5.4,,9.6,
2018,2,16,0.0,-5.4,5.8,,9.3,
2018,2,17,-1.9,-4.4,2.0,,9.3,
2018,2,18,-0.1,-3.4,3.7,,1.0,
2018,2,19,2.1,-3.5,8.1,,8.0,
2018,2,20,1.8,-2.6,7.0,,7.0,
2018,2,21,-0.1,-3.1,4.4,,9.4,
2018,2,22,1.3,-5.2,7.5,0.0,9.2,
2018,2,23,5.2,-0.2,10.0,0.1,5.3,0.5
2018,2,24,5.4,1.1,10.9,,8.8,
2018,2,25,3.3,-0.6,9.5,,6.8,
2018,2,26,3.7,-4.0,11.4,,10.4,
2018,2,27,6.1,-1.6,13.5,,6.8,
2018,2,28,5.3,1.6,9.3,28.7,0.0,
